dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/549834,2008,Progetti per lo sviluppo del territorio. Marketing strategico dell'Oltrepò Mantovano,"CASONI, GIORGIO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/550371,2008,Brand reset. Il caso Framesi,"COLLINA, LUISA MARIA VIRGINIA;MANCIARACINA, ANDREA GIUSEPPE;TOLINO, UMBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/881646,2008,Casa per tutti. Abitare la città globale,"IRACE, FULVIO;FERABOLI, MARIA TERESA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504231,2009,HELL PARADISE SHOPPING,"CAUTELA, CABIRIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532729,2009,Designing Connected places,"LUPO, ELEONORA;C. Campagnaro"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/544080,2009,Design Follows Materials,"FERRARA, MARIA RITA;S. LUCIBELLO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/546441,2009,"Master in Territorio e Architettura Sostenibili: Seminari Internazionali e progetti dei gruppi di ricerca. Serie: Complessità e Sostenibilità: il territorio e l'architettura - Rivista bimestrale digitale di pianificazione e progettazione, n° 10","PADOVANO G;BLASI C;NEBULONI, ATTILIO;ANASTASIO I;ARRIGONI V."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/547903,2009,Biografie di oggetti | Storie di cose,"A. Burtscher;D. Lupo;A. Mattozzi;VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/561410,2009,Design a Como. L'impatto del sistema design politecnico nel distretto comasco,"DE PAOLIS, ROBERTO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/561522,2009,Designing Designers: Where Does Light Move To? Lighting Design Innovation Scenarios.,"ROSSI, MAURIZIO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/562688,2009,Il Sistema Design Italia per la valorizzazione dei beni culturali,"PARENTE, MARINA;LUPO, ELEONORA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/562762,2009,Design Research Maps. Prospettive della ricerca universitaria in design in Italia,"BERTOLA, PAOLA;MAFFEI, STEFANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563222,2009,DESIGN E CONTINUITA' COMPETITIVA. Creatività e strategia per affrontare il passaggio generazionale,"VIGNATI, ARIANNA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563400,2009,Pratiche sostenibili. Itinerari del design nella ricerca italiana,"VEZZOLI, CARLO ARNALDO;Veneziano R."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563448,2009,Another Med_Another Design,"A. Can Ozcan;FERRARA, MARIA RITA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/563652,2009,Sustainable mobility,"FASSI, DAVIDE;GIUNTA, ELENA ENRICA;REBAGLIO, AGNESE"
