dc.type.full,dc.identifier.uri,dc.date.issued,dc.authority.people
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1039819,2017,"menichinelli, massimo;bianchini, massimo;carosi, alessandra;maffei, stefano"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1039998,2017,Maria Pompeiana Iarossi;Giampiero Mele;Michela Rossi
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1040685,2017,M. Roxburgh;E. Caratti
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1041014,2017,"DI DIO, DENISE;M. Mortati"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1041230,2015,"Andreoni, G;Mazzola, M;Matteoli, S;D’Onofrio, S;Forzoni, L."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1041957,2005,"BERTOLA, P."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043178,2017,"GIUNTA, ELENA ENRICA;GALEAZZI, CHIARA;Agnese Rebaglio;SIMEONE, GIULIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043419,2018,"Crabu, Stefano;Magaudda, Paolo"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043446,2017,"Mora, Emanuela;Rocamora, Agnès;Volonté, Paolo"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043447,2017,P. Volonte'
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043504,2017,M. Ferrara;L. De Bartolomeis
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043509,2017,R. Carullo;C. Cecchini;M. Ferrara;C. Langella;S. Lucibello
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1043727,2009,M. T. Feraboli
