dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.subject.keywords,item.collection,item.openaireRights,dc.authority.people,
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018730,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"PARENTE, MARINA;SEDINI, CARLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018732,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"PARENTE, MARINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018785,eng,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"SELLONI, DANIELA;MANZINI, EZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1018916,ita,2016,"Sì, ma tipo non specificato",-,-,-,-,"Design degli Interni, Abitare, Società",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"GUERRINI, LUCA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019018,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,3,"Lawson, Stuart;Gray, Jonathan;MAURI, MICHELE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019026,ita,2016,Esperti anonimi,-,-,-,-,"Design della comunicazione, oggetti, superficie, grafica, narrazione",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019031,eng,2017,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,none,6,"Pentzold, Christian;Weltevrede, Esther;MAURI, MICHELE;Laniado, David;Kaltenbrunner, Andreas;Borra, Erik"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019041,ita,2016,Esperti anonimi,-,-,-,-,"Design dell’informazione, Dati generati da dispositivi mobili, Mappatura dei comportamenti, Strumenti visuali, Scoperta di pattern.",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"PROFETA, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019059,por,2015,Comitato scientifico,-,-,-,-,Design. Gestão. Design thinking. Design estratégico,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"CAUTELA, CABIRIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019070,eng;ita,2016,-,-,-,-,-,"Hotel, interior design, contract design, ospitalità",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"SCULLICA, FRANCESCO;Elgani, E."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019077,eng;ita,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"SCULLICA, FRANCESCO;Elgani, E."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019086,eng,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BIONDA, ARIANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019089,eng,2015,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BIONDA, ARIANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019094,eng,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"BIONDA, ARIANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019098,eng,2015,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"RATTI, ANDREA;BIONDA, ARIANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019100,ita,2014,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"RATTI, ANDREA;BIONDA, ARIANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019117,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"FERRARA, MARIA RITA;LECCE, CHIARA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019130,eng,2016,Esperti anonimi,-,-,-,-,urban interior design; place activation,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"CAMOCINI, BARBARA;PETRILLO, DANIELA;REBAGLIO, AGNESE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1019149,eng,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,3,"Mora, E.;Rocamora, A.;VOLONTE', PAOLO GAETANO"
