dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971209,eng,2015,Esperti anonimi,internazionale,Gruppo del Colore - Associazione italiana colore,Milano,ITA,Proceedings of the IX Conferenza del Colore,-,-,Milano,Conferenza del Colore,,"futuristic cuisine, color in food, food design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"ROSSI, MICHELA;Mele, Giampiero"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971211,eng;ita,2015,Esperti anonimi,internazionale,Gangemi,Roma,ITA,Disegno e Città/Drawing and city,-,-,Torino,37 Convegno internazionale dei docenti della rappresentazione,,"cimitero, architettura funebre, architettura urbana, memoria, patrimonio culturale.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,1,"ROSSI, MICHELA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971581,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education Italy,Milano,ITA,"The virtuous circle Cumulus Conference June 3-7, Milan",-,-,Milano,The Virtuous Circle,,Additive manufacturing; 3D printing; Design experimentation,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"BOLZAN, PATRIZIA;MORTATI, MARZIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971668,eng,2015,-,nazionale,-,-,-,23rd Conference of the Italian Association of Aeronautics and Astronautics (AIDAA 2015),-,-,"Torino, Italy",23rd Conference of the Italian Association of Aeronautics and Astronautics (AIDAA 2015),,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"BRUGLIERI, MAURIZIO;CARDANI, CESARE;Putzu, M."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971685,eng,2015,-,internazionale,McGraw-Hill Education Italy,-,-,"The Virtuous C ircle Design Culture and Experimentation - Prooceedings of the Cumulus Conference, Milano 2015",-,-,Milano,The Virtuos Circle - Cumulus Conference,,Service Evaluation. Service Design. Evaluation Design,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,10,"FOGLIENI, FRANCESCA;Student, Phd;di Milano, Politecnico;Italy,;Francescafoglieni@polimiit, F.r.a.n.c.e.s.c.a. F.o.g.l.i.e.n.i.@.p.o.l.i.m.i. It;VILLARI, BEATRICE;Fellow, Research;di Milano, Politecnico;Italy,;Beatricevillari@polimiit, B.e.a.t.r.i.c.e. V.i.l.l.a.r.i.@.p.o.l.i.m.i. It"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971909,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education,Milano,ITA,Proceedings of CUMULUS Spring Conference 2015 – The Virtuous Circle,-,-,Milano,CUMULUS Milan 2015. The Virtuour Circle,,Service design; Social innovation; Incubation; Scaling; Co-design.,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CORUBOLO, MARTA;MERONI, ANNA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971910,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education,Milano,ITA,Proceedings of the Cumulus Milano 2015 Conference – The Virtuous Circle. Design Culture and Experimentation,-,-,Milano,CUMULUS Milan 2015. The Virtuour Circle,,Incubating Innovation; Capacity Building; Sense Making; Design Thinking,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CAUTELA, CABIRIO;MERONI, ANNA;Muratovski, Gjoko"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971929,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education,-,ITA,The Virtuous Circle Design Culture and Experimentation. Prooceedings of the Cumulus Conference,-,-,Milano,Cumulus Conference,,"Visual communication, Synaesthesia, Food",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"RICCO', DINA;GUNETTI, LUCIANA;Andriani, A."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/971979,spa,2015,Comitato scientifico,internazionale,-,-,-,Actas V Congreso Internacional de Sinestesia: Ciencia y Arte,-,-,"Alcalá la Real, Jaén, Spagna",V Congreso Internacional de Sinestesia: Ciencia y Arte,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"RICCO', DINA;M. José De Córdoba Serrano"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972204,mul,2015,Comitato scientifico,internazionale,Gangemi Editore spa,Roma,ITA,Disegno & citta-Drawing & city,-,STAMPA,Torino,Drawing & City. Disegno & Città. Cultura arte scienza informazione,,"Parco Sempione, Foro Bonaparte, Architettura illuminista, rilievo urbano",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"IAROSSI, MARIA POMPEIANA;CONTE, SARA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972336,eng,2015,Esperti anonimi,internazionale,-,-,-,Design and semantics of form and movement,-,-,Milano,"DeSForM 2015 Aesthetics of interaction: Dynamic, Multisensory, Wise",,"Smart materials, shape memory materials, kinetic experience, tangible interface, interaction design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"FERRARA, MARIA RITA;Bengisu, Murat"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972631,eng,2015,-,internazionale,McGraw-Hill Education Italy,-,-,"The Virtuous Circle. Design Culture and Experimentation, Prooceedings of the Cumulus Conference, Milano 2015",-,-,Milano,The Virtuous Circle. Design Culture and Experimentation,,"Storytelling, Design for social innovation, Philosophy",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"Tassinari, Virginia;BERTOLOTTI, ELISA;Daam, Heather;PIREDDA, FRANCESCA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972726,eng,2015,-,internazionale,Mc Graw Hill,-,-,The virtuous circle,-,-,"Milano, Politecnico di Milano",Cumulus Conference 2015,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"SPADAFORA, MARCO;VITALI, ANNAMARIA ANDREA;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972728,eng,2015,-,internazionale,-,-,-,The virtuous circle,-,-,"Milano, Politecnico di Milano",Cumulus Conference 2015,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972956,eng,2015,Esperti anonimi,internazionale,-,-,GBR,Future in our Hands.,-,-,Manchester (GB),Annual Research Conference Proceedings,,"Hospitality, design for hospitality, hotel, hotel management,",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"SCULLICA, FRANCESCO;Elgani, F."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/972961,eng,2015,Esperti anonimi,internazionale,-,-,ITA,The Virtuous Circle. Design Culture and Experimentation,-,-,Milano,Cumulus Conference,,"Hotel, Hospitality, cross-fertilization, design and hospitality",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"SCULLICA, FRANCESCO;Elgani, E."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973025,eng,2015,-,internazionale,-,-,-,"The Virtuous Circle. Design Culture and Experimentation, Prooceedings of the Cumulus Conference, Milano 2015",-,-,Milano,The Virtuous Circle. Design Culture and Experimentation,,"Public spaces, Storytelling, Co-design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"PIREDDA, FRANCESCA;FASSI, DAVIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973068,eng,2015,Esperti anonimi,internazionale,-,-,-,Proceedings of the 20th International Conference on Engineering Design,-,-,"Milan, Italy",20th International Conference on Engineering Design,,"Design Process, Industrial Design, New Product Development, Selective Laser Melting, Metal Powder",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"GUAGLIANO, MARIO;PREVITALI, BARBARA;RAMPINO, LUCIA ROSA ELENA;GALIMBERTI, GIORGIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973300,eng,2015,-,internazionale,IBIMET-CNR,Florence,ITA,Innovation in Environmental Education: ICT and intergenerational learning,-,-,"Florence, Italy",INVOLEN - Intergenerational Learning for Nature Conservation Volunteers,,"location based mobile games, urban gaming, meaningful play, higher education, environmental learning, hybrid space.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"Ackermann, Judith;MARIANI, ILARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973546,eng,2015,Esperti anonimi,internazionale,IEEE,-,-,2015 IEEE 18th International Conference on Intelligent Transportation Systems - (ITSC 2015),-,-,"Palacio de Congresos de Canarias Avenida Príncipe de Asturias, s/n Las Palmas de Gran Canaria Canary Islands, Spain",2015 IEEE 18th International Conference on Intelligent Transportation Systems - (ITSC 2015),,"analytic hierarchy process
environmental factors
geographic information systems
hazardous materials
land cover
risk analysis
transportation",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"GANDINI, PAOLO;STUDER, LUCA PASINO;BORGHETTI, FABIO;IULIANO, ROSANNA;PASTORELLI, GIUSEPPE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973684,eng,2015,-,internazionale,-,-,-,Design and semantics of form and movement,-,-,"Milano, Politecnico di Milano","DeSForM 2015 Aesthetics of interaction: Dynamic, Multisensory, Wise",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,1,"PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973700,eng;ita,2015,-,nazionale,A.I.C.A. - Ass. It. per Informatica e Calcolo Automatico,-,ITA,Didamatica 2015. Atti del Convegno,-,-,Genova,Didamatica 2015,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CECONELLO, MAURO ATTILIO;SPALLAZZO, DAVIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973702,eng,2015,-,internazionale,IADE -­‐ Creative University / Edições IADE,Lisbona,PRT,Senses & Sensibility’15: Design as a Trade - Proceedings of the UNIDCOM/IADE 8th International Conference,-,-,Lisbona,Senses & Sensibility’15: Design as a Trade - Proceedings of the UNIDCOM/IADE 8th International Conference,,"Serious game, mobile technology, location based game, design, urban space",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CECONELLO, MAURO ATTILIO;Spagnoli, A.;SPALLAZZO, DAVIDE;TOLINO, UMBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973704,eng,2015,Esperti anonimi,internazionale,IEEE,-,-,2nd International Congress on Digital Heritage 2015,-,-,Granada - Spain,2nd International Congress on Digital Heritage 2015,,"Serious game, mobile technology, location based game, design, urban space, informal learning",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CECONELLO, MAURO ATTILIO;Spagnoli, A.;SPALLAZZO, DAVIDE;TOLINO, UMBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/973775,eng,2015,Esperti anonimi,internazionale,-,-,IND,"Proceedings of the Conference Cumulus Mumbai 2015 ""In a planet of our own - a vision of sustainability with focus on water'",-,-,"Bombay, Mumbai, India","International Conference 'In a planet of our own - a vision of sustainability with focus on water""; held from 3rd - 5th December 2015 at the Industrial Design Centre(IDC), IIT Bombay.",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"BERGAMASCHI, SARA;RAMPINO, LUCIA ROSA ELENA;COLOMBO, SARA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/974578,eng,2015,Comitato scientifico,internazionale,-,-,-,"ICERI2015 Proceedings of the 8th International Conference of Education, Research and Innovation",-,-,Seville (Spain),"8THINTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION",,"archetype, mode of use, design driven innovation, form generation, manufacturability",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"FERRARIS, SILVIA DEBORAH;FERRARO, VENERE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/974580,eng,2015,Comitato scientifico,internazionale,-,-,-,"ICERI2015 Proceedings of the 8th International Conference of Education, Research and Innovation",-,-,Seville (Spain),"8THINTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION",,"manufacturing, laws of perception, visual elements, form generation",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"FERRARIS, SILVIA DEBORAH"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/974645,ita,2015,Comitato scientifico,internazionale,BREPOLS PUBLISHERS,Turnhout,BEL,Il prìncipe inVisibile,-,-,Fondazione Centro Studi Leon Battista Alberti- Fondazione Università Mantova,Il prìncipe invisibile,,"Allegorie politiche, Stato sforzesco, Cesare Borgia, Machiavelli, Leonardo",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,28,"MARANI, PIETRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/974752,eng,2015,Comitato scientifico,internazionale,Delettera WP,Agrigento,ITA,ENVIRONMENTAL DESIGN. 1st International Conference on Environmental Design. Conference proceeding by MDA Mediterranean Design Association,-,-,Agrigento,1st International Conference on Environmental Design.,,"wayfinding design, typography, co-design, participation",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,2,"GUIDA, FRANCESCO ERMANNO;TONELLI, ALESSANDRO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/975482,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education,Milano,ITA,Proceedings of the Cumulus Milano 2015 Conference – The Virtuous Circle. Design Culture and Experimentation,-,-,Milano,CUMULUS Milan 2015. The Virtuour Circle,,"Strategic design, Place identity, Sensemaking, Storytelling, Situated learning",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"PARENTE, MARINA;Medeiros, Vivianne Nardi de Assis"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/978071,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education Italy,Milano,ITA,The Virtuous Circle: Design Culture and Experimentation.,-,-,"Milan, Italy","The Virtuous Circle: Design Culture and Experimentation. Cumulus Conference, Milan 2015",,"Advanced manufacturing, Craft-based process, Material culture, Local production, Designing value-making.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"VACCA, FEDERICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/978162,eng,2015,-,internazionale,IATED Academy,-,-,EDULEARN15 Proceedings,-,-,Barcelona (Spain),EDULEARN 2015 - 7th International Conference on Education and New Learning Technologies,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"Stewart, B. L.;COLOMBI, CHIARA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/978163,eng,2015,-,internazionale,McGraw Hill Education,-,-,The Virtuous Circle Design Culture and Experimentation. Proceedings of the Cumulus Conference,-,-,"Politecnico di Milano, Milan, Italy",Cumulus Conference,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"COLOMBI, CHIARA;LUPO, ELEONORA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979064,eng,2015,Comitato scientifico,internazionale,Color Science Association of Japan (CSAJ),Tokyo,JPN,"AIC2015 Tokyo Colour and Image, Midterm Meeting of the International Colour Association (AIC)",-,-,Tokyo,"AIC2015 Tokyo Colour and Image, Midterm Meeting of the International Colour Association (AIC)",,"Colour, Design, Communication, Interior, Product",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"RIZZI, ALESSANDRO;ROSSI, MAURIZIO;Bonanomi, C.;SINISCALCO, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979069,eng,2015,Comitato scientifico,internazionale,Gruppo del Colore – Associazione Italiana Colore,Milano,ITA,Colour and Colorimetry Multidisciplinary Contributions Vol. XIB,-,-,Milano,XI Conferenza del Colore.,,"Lighting, Plants, Groving",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"CASCIANI, DARIA;MUSANTE, FULVIO;ROSSI, MAURIZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979070,eng,2015,Comitato scientifico,internazionale,Gruppo del Colore - Associazione Italiana Colore,Milan,ITA,Colour and Colorimetry Multidisciplinary Contributions Vol. XIB,-,-,Milan,XI Conferenza del Colore,,"Color, Design, Interior, Communication, Product, Master",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"ROSSI, MAURIZIO;SINISCALCO, ANDREA;RIZZI, ALESSANDRO;Bonanomi, C."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979072,eng,2015,Comitato scientifico,internazionale,SPIE-IS&T,San Francisco,USA,"Color Imaging XX: Displaying, Processing, Hardcopy, and Applications",-,-,San Francisco,"IS&T/SPIE Electronic Imaging 2015, Color Imaging XX: Displaying, Processing, Hardcopy, and Applications",,Color; LID; Lighting Fixtures; Representation;,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ROSSI, MAURIZIO;MUSANTE, FULVIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979234,eng,2015,"Sì, ma tipo non specificato",internazionale,McGraw-Hill Education (Italy),Milano,ITA,The Virtuous Circle: Design Culture and Experimentation,-,-,Milano,The Virtuous Circle: Design Culture and Experimentation,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"LUPO, ELEONORA;S. Teasley;VOLONTE', PAOLO GAETANO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979532,eng,2015,-,internazionale,Philips,-,-,"Design and semantics of form and movement: DesForm 2015 - Aesthetics of Interaction: Dynamic, Multisensory, Wise",-,-,Politecnico di Milano,"DesForm 2015 - Aesthetics of Interaction: Dynamic, Multisensory, Wise",,"materials experience, smart materials, leather, dynamic, imperfection",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"ROGNOLI, VALENTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979576,eng,2015,Esperti anonimi,internazionale,DELETTERA PUBLISHER,MILANO,ITA,Environmental Design,-,STAMPA,Agrigento (italia),I° International Conference on Environmental Design,,"environmental, design, visual, haptic, urban design, technology, materials, product design, communication, service design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"BISSON, MARIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/979596,eng,2015,Esperti anonimi,internazionale,-,-,DNK,Tangible Means: experiential knowledge through materials,-,-,Design School Kolding,International Conference 2015 of the Design  Research Society Special Interest Group on  Experiential Knowledge,,"properties of materials; time; material experience; selection of materials; expressive
characteristics",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,5,"Eline Nobels;OSTUZZI, FRANCESCA;LEVI, MARINELLA;ROGNOLI, VALENTINA;Jan Detand"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/980218,eng,2015,Esperti anonimi,internazionale,McGraw-Hill Education Italy,Milano,ITA,The Virtuous Circle Design Culture and Experimentation,-,-,Milano,The Virtuous Circle-Cumulus Conference,,"Communication design, Women’s representations, Education.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"BUCCHETTI, VALERIA LUISA;CARATTI, ELENA;REINA, MARTA ISABELLA;TOLINO, UMBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/982900,eng,2015,-,internazionale,-,Madrid,ESP,"INTED2015 (9th International Technology, Education and Development Conference)",-,-,Madrid,"INTED2015 (9th International Technology, Education and Development Conference)",,"workshop, education, design strategy, design tools, cognitive theory, learning, making sharing, creative communities",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"DE ROSA, ANNALINDA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/983123,eng,2015,-,internazionale,McGraw-Hill Education Italy,Milan,ITA,The Virtuous Circle - Design Culture and Experimentation,-,-,"Milan, Italy","Cumulus Conference, Milano 2015",,"Co-design, Self-built design, Participatory design, Site-specific design, Urban temporary design, Human focused design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,3,"REBAGLIO, AGNESE;BRENNA, LUIGI PAOLO;DE ROSA, ANNALINDA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/983131,eng,2015,-,internazionale,Iran Lighting Design Conference (ILDC),Tehran,IRN,2nd Iran Lighting Design Conference (ILDC) Proceeding,-,-,Tehran,Iran Lighting Design Conference,,"urban lighting, luminous atmosphere, people impression, LEDs, lighting design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"CASCIANI, DARIA;ROSSI, MAURIZIO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/983714,eng,2015,Esperti anonimi,internazionale,IsDi Istituto Superior de Diseño,La Habana,CUB,Forma 2015 - VIII Congreso Internacional de Diseño de La Habana. Diseño con sentido.,-,-,"La Habana, Cuba",Forma 2015 - VIII Congreso Internacional de Diseño de La Habana. Diseño con sentido.,,"exhibition design, performance, museum",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"TROCCHIANESI, RAFFAELLA;BORSOTTI, MARCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/983871,ita,2015,Comitato scientifico,internazionale,Gruppo del Colore – Associazione Italiana Colore,Milano,ITA,Colore e colorimetria. Contributi multidisciplinari (vol XI A),-,-,Milano,Undicesima Conferenza del Colore,,"Rito, Design&Humanities, Cultural design",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"PILS, GIULIA;TROCCHIANESI, RAFFAELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/984313,eng,2015,-,internazionale,-,-,-,PROCEEDINGS OF UD15: PERIPHERY AND PROMISE 4TH PHD IN DESIGN FORUM,-,-,"UNIVERSITY OF PORTO, PORTUGAL",UD15: PERIPHERY AND PROMISE 4TH PHD IN DESIGN RESEARCH FORUM,,"Design, SMEs’ constraints, furniture sector, Brazil.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"FONSECA BRAGA, MARIANA;Manhago, Marcelo Souza;INGARAMO, MATTEO ORESTE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/984314,eng,2015,-,internazionale,-,-,-,"Cross-Cultural Design Methods, Practice and Impact 7th International Conference, CCD 2015 Held as Part of HCI International 2015 Los Angeles, CA, USA, August 2–7, 2015 Proceedings, Part I",-,-,Los Angeles,"7th International Conference, CCD 2015 Held as Part of HCI International 2015",,Active ageing; Fitness life style; Service design; Social innovation; Computer Science (all); Theoretical Computer Science,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"YIN, LIANG;FASSI, DAVIDE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/984465,eng,2015,-,internazionale,-,-,-,The Virtuous Circle Design Culture and Experimentation,-,-,Milano,TheVirtuousCircle,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"DECKER, LUCIE;PEI, XUE"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/986189,eng,2015,Comitato scientifico,internazionale,McGraw-Hill Education Italy,Milano,ITA,The Virtuous Circle Design Culture and Experimentation,-,-,Milano,The Virtuous Circle-Cumulus Conference,,"Communication design, Social innovation, Collaborative design.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,4,"CARATTI, ELENA;CIRAVEGNA, ERIK;REBAGLIO, AGNESE;TOLINO, UMBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/986197,eng,2015,Comitato scientifico,internazionale,-,-,-,"Creating Sustainable Work-environment, Proceeding of NES",-,-,"Lillehammer, Norway",NES Nordic Scientific Committee,,"Sustainability, Extreme Working Environments, Space Station, Human Factors 
Design, Closed loop, Holistic Design Methodology, Slow Approach.",04.1 Contributo in Atti di convegno,info:eu-repo/semantics/openAccess,3,"SCHLACHT, IRENE LIA;CEPPI, GIULIO;NAZIR, SALMAN"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/986338,eng,2015,-,internazionale,-,-,-,"REUSO 2015 - III Congreso Internacional sobre Documentación, Conservación,  y Reutilización del Patrimonio Arquitectónico",-,-,Valencia,"REUSO 2015 - III Congreso Internacional sobre Documentación, Conservación,  y Reutilización del Patrimonio Arquitectónico",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,2,"ANZANI, ANNA;BAILA, ANGELA"
