dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/537872,ita,2000,-,internazionale,Giannini,-,-,-,-,-,-,Progetto abitare verde. Riciclare: Tecniche esperienze e prospettive nell'Architettura e nel Design,,-,04.1 Contributo in Atti di convegno,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538489,eng,2000,Comitato scientifico,internazionale,-,-,ITA,Atti 4th world congress Aluminium 2000,-,-,Brescia Italia,Atti 4th world congress Aluminium 2000,,"innovazione, processi produttivi e design",04.1 Contributo in Atti di convegno,none,1,"BRUNO, DAVIDE MARIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542495,-,2000,-,internazionale,-,-,-,Protezione dal rischio di incendio nelle gallerie ferroviarie e stradali - Quaderno AISCAT,-,-,Roma,Protezione dal rischio di incendio nelle gallerie ferroviarie e stradali,,-,04.1 Contributo in Atti di convegno,none,1,"MAJA, ROBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558511,eng,2000,"Sì, ma tipo non specificato",internazionale,-,Milano,ITA,-,-,-,Milano - Politecnico di Milano,Design Plus Research,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558588,eng,2000,-,internazionale,-,-,-,-,-,-,Milano - Politecnico di MIlano,International Symposium on the dimension of industrial design research,,-,04.1 Contributo in Atti di convegno,none,2,"MASCHI, SIMONA;PENATI, ANTONELLA VALERIA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558648,eng,2000,"Sì, ma tipo non specificato",internazionale,UTT and ICAST - Université de Technologie de Troyes,-,-,-,-,-,"Troyes, France","Proceeding of the first  International Conference on Industrial Ecology and Sustainability, D. Bourg, S. Erkman",,-,04.1 Contributo in Atti di convegno,none,1,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558805,eng,2000,"Sì, ma tipo non specificato",internazionale,-,-,ITA,-,-,-,Milano,Design Plus Research,,-,04.1 Contributo in Atti di convegno,none,2,"DOMINONI, ANNALISA;TRABUCCO, FRANCESCO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558903,eng,2000,-,internazionale,-,-,-,-,-,-,Milano,"Design Plus Research, (a cura di) S. Pizzocaro, A. Arruda, D. De Moraes",,-,04.1 Contributo in Atti di convegno,none,2,"CHIAPPONI, MEDARDO;COSTA, FIAMMETTA CARLA ENRICA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/881676,ita,2000,Nessuno,nazionale,Grafo,Brescia,ITA,Arte e architettura nello spazio di Lombardia tra le due guerre,-,-,Brescia,Arte e architettura nello spazio di Lombardia tra le due guerre,,Cremona; storia dell'architettura,04.1 Contributo in Atti di convegno,none,1,"FERABOLI, MARIA TERESA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/243026,-,2001,-,internazionale,-,-,-,-,-,-,"Kaunas (Lituania), 5-6 april 2001",Mechanika 2001 : Proceedings of the International Conference,,-,04.1 Contributo in Atti di convegno,none,5,"P. Allara;G. Campa;CANINA, MARIA RITA;S. Della;ROVETTA, ALBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245203,-,2001,-,internazionale,-,-,-,-,-,-,Seul,9th World Conference on Transport Research,,-,04.1 Contributo in Atti di convegno,none,1,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/245750,eng,2001,-,internazionale,-,-,-,-,-,-,Torino,La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS),,-,04.1 Contributo in Atti di convegno,none,1,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/261093,-,2001,-,internazionale,-,-,-,-,-,-,"Wellington, New Zealand","World Building Congress, Wellington, New Zealand",,-,04.1 Contributo in Atti di convegno,none,3,"OBERTI, ILARIA;PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/262620,eng,2001,-,internazionale,-,-,-,-,-,-,Torino,La scienza e la tecnologia sulla Stazione Spaziale Internazionale (ISS),,-,04.1 Contributo in Atti di convegno,none,1,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/267912,eng,2001,-,internazionale,-,-,-,-,-,-,Cambridge,120 Round Table European Conference of Ministers of Transport CEMT/OECD,,-,04.1 Contributo in Atti di convegno,none,1,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/272263,-,2001,-,internazionale,-,-,-,-,-,-,Bruxelles,"Trans Talk Workshop, EEC",,-,04.1 Contributo in Atti di convegno,none,1,"PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/272264,-,2001,-,nazionale,-,-,-,-,-,-,Ancona,Politiche economiche per il sistema dei trasporti e della logistica,,-,04.1 Contributo in Atti di convegno,none,2,"MALGIERI, PATRIZIA;PONTI, MARCO GUIDO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/274019,eng,2001,-,internazionale,-,Londra,-,-,-,-,-,Affective Human Factors Design Conference,,-,04.1 Contributo in Atti di convegno,none,1,"BERTOLA, PAOLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502852,-,2001,-,internazionale,-,-,-,"ICAR 2001, International Conference on Advanced Robotics",-,-,-,"ICAR 2001, International Conference on Advanced Robotics",,-,04.1 Contributo in Atti di convegno,none,5,"ROVETTA, ALBERTO;CANINA, MARIA RITA;PAOLO ALLARA;GIOVANNI CAMPA;SERGIO DELLA SANTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/509650,eng,2001,-,internazionale,Liguori Editore,NAPOLI,ITA,"MSSU, Microgravity and Space Station Utilization",-,-,-,-,,-,04.1 Contributo in Atti di convegno,none,1,"DOMINONI, ANNALISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/535926,ita,2001,-,internazionale,Giannini,NAPOLI,ITA,"Riciclare. Tecniche, esperienze e prospettive nell’architettura e nel design",-,-,Napoli,"Convegno Internazionale Progetto Abitare Verde. Riciclare. Tecniche, esperienze e prospettive nell’architettura e nel design",,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,1,"PARENTE, MARINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538953,eng,2001,-,internazionale,-,-,-,-,-,-,Budapest,"ICAR 2001, 10th International Conference on Advanced Robotics",,-,04.1 Contributo in Atti di convegno,none,5,"ROVETTA, ALBERTO;CANINA, MARIA RITA;P. ALLARA;G. CAMPA;S. DELLA SANTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538954,eng,2001,-,internazionale,-,-,-,-,-,-,"Rimini, Italy",XXXII Congress of the Italian Neurological Society,,-,04.1 Contributo in Atti di convegno,none,3,"ROVETTA, ALBERTO;CANINA, MARIA RITA;R. PEGORARO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542474,-,2001,-,nazionale,-,-,-,"XI Congresso SITE Società Italiana di Ecologia – Sessione contabilità ambientale, Sabaudia",-,-,Sabaudia,XI Congresso SITE Società Italiana di Ecologia - Sessione contabilità ambientale,,-,04.1 Contributo in Atti di convegno,none,5,"DE LEO G.;CAPRILE, ELENA;GOBETTI M.;MAJA, ROBERTO;SACCHI M."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542819,eng,2001,-,internazionale,-,-,-,Fifth immersive projection technology workshop - Seventh Eurographics Workshop on Virtual Environments.,-,-,Stuggart,Fifth immersive projection technology workshop - Seventh Eurographics Workshop on Virtual Environmen,,-,04.1 Contributo in Atti di convegno,info:eu-repo/semantics/closedAccess,5,"CALABI, DANIELA ANNA;CLAUDIO R. BOER;STEFANO MOTTURA;MARCO SACCO;GIAN PAOLO VIGANO'"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/548858,-,2001,-,internazionale,-,-,-,-,-,-,"Toulouse, France","9th  InTERNATIONAL SYMPOSIUM on Intelligent Robotic Systems, SIRS'2001",,-,04.1 Contributo in Atti di convegno,none,4,"ROVETTA, ALBERTO;CANINA, MARIA RITA;G. CAMPA;S. DELLA SANTINA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/558019,-,2001,-,internazionale,-,-,-,-,-,-,"Naples, sept. 15-18","Clima 2000 World Congress, Naples",,-,04.1 Contributo in Atti di convegno,none,4,"BAGLIONI, ADRIANA;OBERTI, ILARIA;RATTI, ANDREA;PIARDI, SILVIA ELVIRA MARIA"
