title,year,authors,internalAuthors,externalAuthors
Optimizing the location of helicopter emergency medical service operating sites,2016,Bruglieri maurizio;Cardani cesare;Putzu matteo;Lecture notes in computer science  ,Bruglieri maurizio;Cardani cesare;Lecture notes in computer science  ,Putzu matteo
"The value of design: an issue of vision, creativity and interpretation",2016,Fonseca braga mariana,Fonseca braga mariana
3d technology and industrial design to breathe new life into product design. is this the future of fashion and textiles?,2017,Motta martina;Gaddi rossana;Conti giovanni maria,Motta martina;Gaddi rossana;Conti giovanni maria
Oltre l’abito. iridescenze nella moda contemporanea,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Commons people: additive manufacturing enabled collaborative commons production (by design),2017,Smith paul;Mortati marzia;International journal of rapid manufacturing  ,Mortati marzia;International journal of rapid manufacturing  ,Smith paul
Updating the tradition: italian design in the first decade of the new century,2016,Guerrini luca;Gerosa giulia maria;Zhuangshi  ,Guerrini luca;Gerosa giulia maria;Zhuangshi  
Polimi design phd_017,2017,Biamonti alessandro;Guerrini luca,Biamonti alessandro;Guerrini luca
Interior design as an environmental system of “activators of well-being”: the therapeutic habitat model for alzheimer’s disease,2017,Gramegna silvia maria,Gramegna silvia maria
Design capability and business innovation,2016,Mortati marzia;Villari beatrice,Mortati marzia;Villari beatrice
"Social food club. service e food design come abilitatori di nuovi modelli di sviluppo, innovazione e coesione sociale.",2016,Maffei stefano;Villari beatrice;Tamini luca;Parini barbara,Maffei stefano;Villari beatrice;Tamini luca;Parini barbara
Progettare per la persona: la moda,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Interazioni e influenze nel progetto,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Stagionalità e riconoscibilità della moda,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Oltre l’abito. progettare il corpo,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
"Per il corpo, non solo l’abito",2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Progettare per un corpo vestito,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
L’abito sul corpo,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Abiti fluidi su corpi fluidi,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Il progetto del corpo maschile,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
L’abito maschile nel meridione d’italia,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
La figura del sarto e la sua formazione,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Il passato come riscoperta delle future tradizioni,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Abiti maschili ibridi: tra lo sportivo e il sartoriale,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Due progetti di cappello: il borsalino e la coppola,2017,Conti giovanni maria;Fiorani eleonora,Conti giovanni maria;Fiorani eleonora
Dispositivo di navigazione indossabile da una persona,2017,Che me rosalam;Biamonti alessandro;Ferraro venere;Stepanovic mila,Che me rosalam;Biamonti alessandro;Ferraro venere;Stepanovic mila
Campus: how the co-design approach can support the social innovation in urban context,2016,Fassi davide;Galluzzo laura;De rosa annalinda;Advances in intelligent systems and computing  ,Fassi davide;Galluzzo laura;De rosa annalinda;Advances in intelligent systems and computing  
Campus: co-designing spaces for urban agriculture with local communities,2016,Fassi davide;Galluzzo laura;De rosa annalinda;Pad  ,Fassi davide;Galluzzo laura;De rosa annalinda;Pad  
"Comunicare il viaggio: dalla guida al blog, dalla propaganda al branding",2016,Guida francesco ermanno;Diid. disegno industriale industrial design  ,Guida francesco ermanno;Diid. disegno industriale industrial design  
"La grafica essenziale di gino anselmi, un napoletano razionalista",2017,Guida francesco ermanno,Guida francesco ermanno
Le aziende e la ricerca. quando università e impresa fanno squadra,2017,Palmieri stefania;Amandolese daniela;Luce e design  ,Palmieri stefania;Luce e design  ,Amandolese daniela
Industry 4.0 – digitalization from design to production and market in industrial systems,2017,Palmieri stefania;Amandolese daniela,Palmieri stefania,Amandolese daniela
Innovation and competitiveness go via universities,2017,Palmieri stefania;Amandolese daniela,Palmieri stefania,Amandolese daniela
La ceramica tra design e innovazione,2017,Palmieri stefania;Amandolese daniela;Nicolosi angela,Palmieri stefania,Amandolese daniela;Nicolosi angela
Innovative material driven design business,2017,Palmieri stefania;Amandolese daniela,Palmieri stefania,Amandolese daniela
An opportunity for innovation: university-business cooperation,2017,Palmieri stefania;Amandolese daniela,Palmieri stefania,Amandolese daniela
The consumer between tradition and big data,2017,Palmieri stefania;Amandolese daniela,Palmieri stefania,Amandolese daniela
Universidade federal do parana,2016,Nebuloni attilio;Blasi c.;Carreno b.;Padovano b.;Righi r.,Nebuloni attilio,Blasi c.;Carreno b.;Padovano b.;Righi r.
Sede do governo estadual do maranhao,2016,Nebuloni attilio;Bertacchini p.;Blasi c.;Padovano b.;Pontes p.,Nebuloni attilio,Bertacchini p.;Blasi c.;Padovano b.;Pontes p.
Approcci alla complessità nel progetto sostenibile / approaches to complexity in sustainable design,2016,Nebuloni attilio,Nebuloni attilio
Nomadi & no,2013,Nebuloni attilio;Studi cattolici  ,Nebuloni attilio;Studi cattolici  
Revived beauty: research into aesthetic appreciation of materials to valorise materials from waste,2017,Sauerwein marita;Karana elvin;Rognoli valentina;Sustainability  ,Rognoli valentina;Sustainability  ,Sauerwein marita;Karana elvin
