dc.publisher.place,dc.type.referee,dc.publisher.country,item.collection,item.openaireRights,dc.subject.keywordsita,dc.language.iso,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.relation.ispartofbook,item.journal.title,dc.title,dc.relation.medium,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.type.circulation
-,Esperti anonimi,-,-,none,-,eng,-,http://hdl.handle.net/11311/1019031,2017,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,Digging Wikipedia: The online encyclopedia as a digital cultural heritage gateway and site,ELETTRONICO,6,-,"Pentzold, Christian;Weltevrede, Esther;MAURI, MICHELE;Laniado, David;Kaltenbrunner, Andreas;Borra, Erik",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,"Design dell’informazione, Dati generati da dispositivi mobili, Mappatura dei comportamenti, Strumenti visuali, Scoperta di pattern.",ita,-,http://hdl.handle.net/11311/1019041,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,MD JOURNAL,Osservare la città connessa - Strumenti visuali per la mappatura di dinamiche quotidiane,ELETTRONICO,1,-,"PROFETA, GIOVANNI",-
-,Comitato scientifico,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,por,Design. Gestão. Design thinking. Design estratégico,http://hdl.handle.net/11311/1019059,2015,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,E-TECH,O DESIGN PARA A GESTÃO. A GESTÃO PARA O DESIGN,STAMPA,1,-,"CAUTELA, CABIRIO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,"Hotel, interior design, contract design, ospitalità",http://hdl.handle.net/11311/1019070,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DOMUS,Design dell'Ospitalità,STAMPA,2,-,"SCULLICA, FRANCESCO;Elgani, E.",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng;ita,-,http://hdl.handle.net/11311/1019077,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,DESIGN DIFFUSION NEWS,Neri&HU Projects,STAMPA,2,-,"SCULLICA, FRANCESCO;Elgani, E.",-
-,-,-,-,none,-,eng,-,http://hdl.handle.net/11311/1019086,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Design for Mediterranean Emergency,ELETTRONICO,1,-,"BIONDA, ARIANNA",-
-,-,-,01.1 Articolo in Rivista,none,-,eng,-,http://hdl.handle.net/11311/1019089,2015,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Building experience to design the future,-,1,-,"BIONDA, ARIANNA",-
-,-,-,01.1 Articolo in Rivista,none,-,eng,-,http://hdl.handle.net/11311/1019094,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,1001 vela cup: training and innovation on the water in Venice,-,1,-,"BIONDA, ARIANNA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1019098,2015,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,NAUTECH,Lecco Innovation Hub: a research structure that supports innovation,-,2,-,"RATTI, ANDREA;BIONDA, ARIANNA",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,ita,-,http://hdl.handle.net/11311/1019100,2014,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,COMPOSITI MAGAZINE,La ricerca a supporto dell’innovazione,-,2,-,"RATTI, ANDREA;BIONDA, ARIANNA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,-,http://hdl.handle.net/11311/1019117,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,THE RADICAL DESIGNIST,MADEC. Material Design Culture,ELETTRONICO,1,-,"FERRARA, MARIA RITA;LECCE, CHIARA",-
-,Esperti anonimi,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,-,eng,urban interior design; place activation,http://hdl.handle.net/11311/1019130,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,IDEA,Reloading Spaces: How design makes urban spaces more liveable,STAMPA,3,-,"CAMOCINI, BARBARA;PETRILLO, DANIELA;REBAGLIO, AGNESE",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1019149,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF FASHION STUDIES,In this issue,-,3,-,"Mora, E.;Rocamora, A.;VOLONTE', PAOLO GAETANO",-
-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,-,eng,-,http://hdl.handle.net/11311/1019152,2016,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-,INTERNATIONAL JOURNAL OF FASHION STUDIES,Feeding the imaginary,STAMPA,3,-,"Mora, E.;Rocamora, A.;VOLONTE', PAOLO GAETANO",-
