dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,2003,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/689384,-0,"Centro Europeo per le Creatività Emergenti - concorso internazionale ""ex Tabacchificio Centola""",Comune di Pontecagnano Faiano,-0,3,none,ita,Comune di Pontecagnano Faiano,Internazionale di progettazione,C. Blasi; A. Nebuloni; G. Padovano,-0
-0,2004,07 ALTRO::07.12 Altro,nazionale,DVD MULTIMEDIALE,07.12 Altro,-0,http://hdl.handle.net/11311/533385,-0,LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI,-0,-0,2,-0,-0,-0,-0,M. GALBIATI; GALLI FRANCESCO,-0
-0,2004,07 ALTRO::07.12 Altro,internazionale,DVD MULTIMEDIALE ITALIANO E INGLESE,07.12 Altro,-0,http://hdl.handle.net/11311/533386,-0,GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE,-0,-0,2,-0,-0,-0,-0,M. GALBIATI; FRANCESCO GALLI,-0
-0,2004,07 ALTRO::07.12 Altro,nazionale,Rapporto interno,-0,-0,http://hdl.handle.net/11311/533600,-0,Studio di fattibilità per una metrotranvia in Como,-0,-0,4,-0,-0,-0,-0,A. COLORNI VITALE; D. CICCARELLI; A. LUE'; D. ROSSI,-0
-0,2004,07 ALTRO::07.12 Altro,nazionale,Rapporto interno,07.12 Altro,-0,http://hdl.handle.net/11311/533601,-0,Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services,-0,-0,5,-0,-0,-0,-0,A. COLORNI VITALE; D. CICCARELLI; A. LUE'; V. MORROCCHI; D. ROSSI,-0
-0,2004,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/664582,-0,Sistema di identità visiva di Palazzo dei Pio a Carpi,Carpi - Modena,-0,1,-0,ita,Comune di Carpi. Assessorato alla cultura,Sistema di identità visiva di Palazzo dei Pio a Carpi,Francesco E. Guida,-0
-0,2004,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/665878,-0,Piano di marketing territoriale per l’area dell’Oltrepò Mantovano,Oltrepò Mantovano,Marketing territoriale; Valorizzazione del capitale territoriale; Turismo; Comunicazione,7,none,ita,Camera di Commercio Industria Artigianato e Agricoltura di Mantova,"Contratto di ricerca per la ""Definizione e attuazione di un Piano di marketing territoriale per l’area dell’Oltrepò Mantovano""",F. Schiaffonati; C. Stevan; E. Mussinelli; G. Casoni; F. Celaschi; D. Fanzini; R. Trocchianesi,-0
-0,2004,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/689386,-0,Concorso di idee per un centro socio-ricreativo da realizzare sull’area pubblica denominata Nava,Comune di Olgiate Molgora,-0,5,none,ita,Comune di Olgiate Molgora,Idee,A. Nebuloni; R. Bosia; T. Bosia; M. Besseghini; R. Malvestiti,-0
-0,2005,07 ALTRO::07.03 Design,-0,-0,07.03 Design,-0,http://hdl.handle.net/11311/958792,-0,Picasso. La seduzione del classico,-0,-0,2,info:eu-repo/semantics/openAccess,ita,-0,-0,R.Gaddi; C.Mariani,-0
-0,2005,07 ALTRO::07.12 Altro,internazionale,DVD MULTIMEDIALE ITALIANO E INGLESE,-0,-0,http://hdl.handle.net/11311/533387,-0,MANTEROMOOD.DVD MULTIMEDIALE,-0,-0,2,none,-0,-0,-0,M. GALBIATI; FRANCESCO GALLI,-0
-0,2005,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/687794,-0,Le tecnologie dell’informazione e della comunicazione e lo sviluppo locale,-0,-0,2,none,-0,-0,-0,E. Manzini; F. Rizzo,-0
-0,2005,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/638720,-0,Biblioteca di Storia dell'Arte e restauro della Manica Lunga,Venezia,-0,1,info:eu-repo/semantics/closedAccess,ita;eng,Fondazione Giorgio Cini Onlus,"Concorso internazionale di progettazione ""Manica Lunga, Nuova Biblioteca""",M. De Lucchi,-0
-0,2005,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/645335,-0,Sistema per ufficio MDL,Hannover,design; ufficio,1,info:eu-repo/semantics/closedAccess,deu,iF International Forum Design,iF Product Design Award,M. De Lucchi,-0
