dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,-0,-0,1,"Una firma per sei. Bernazzoli, Biassoni, Costantini, Veruggio, Luzzati, Piombino",M. Piazza,-0,Corigraf,-0,2002,http://hdl.handle.net/11311/267043,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Genova,internazionale
-0,-0,-0,-0,1,Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento,S. Piardi,-0,Edizioni Poli.Design,-0,2002,http://hdl.handle.net/11311/273975,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,internazionale
-0,-0,-0,-0,1,Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento,S. PIARDI,-0,Polidesign,ITA,2002,http://hdl.handle.net/11311/504440,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,-0,-0,-0,1,Riflessioni e scenari innovativi nel progetto del punto vendita,V. IANNILLI,-0,ESCULAPIO,ITA,2002,http://hdl.handle.net/11311/504488,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,BOLOGNA,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,1,"La conoscenza scientifica e tecnologica. I luoghi, le memorie, le tracce",M. PARENTE,-0,CUEN srl,ITA,2002,http://hdl.handle.net/11311/504489,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,NAPOLI,nazionale
-0,03.1 Monografia o trattato scientifico,sistema design Campania; design del territorio; design per lo sviluppo locale; design palese,ita,4,Design e sistema territoriale. Cinque casi studio di successo in Campania.,V. CRISTALLO; E. GUIDA; A. MORONE; M. PARENTE,-0,Libria,ITA,2002,http://hdl.handle.net/11311/504490,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Melfi (PZ),-0
-0,03.1 Monografia o trattato scientifico,-0,-0,2,"Ricerca, Design e sperimentazione per l’innovazione di prodotto nel settore dell’accessorio moda: il caso Mangiameli",A. CAPPELLIERI; BERTOLA P.,-0,Edizioni Polidesign,-0,2002,http://hdl.handle.net/11311/504596,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,1,design della comunicazione ipertestuale,M. BERTOLO,-0,poli.design,ITA,2002,http://hdl.handle.net/11311/504645,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Moda e Design. Nuove trasversalità progettuali,M. TURINETTO,-0,POLI.DESIGN,ITA,2002,http://hdl.handle.net/11311/504929,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ita,3,"Milano distretto del design. Un sistema di luoghi, attori e relazioni al servizio dell’innovazione.",PAOLA BERTOLA; DANIELA SANGIORGI; G. SIMONELLI,-0,Il Sole 24 Ore,ITA,2002,http://hdl.handle.net/11311/505000,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
