dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019549,-,2015,internazionale,-,-,-,-,-,-,-,SIMPACT Project. Deliverable 4.1. Part II. Existing Forms of SI. Dynamics & Features influencing SI Processes and Business Models,-,07.12 Altro,info:eu-repo/semantics/openAccess,3,"CELI, MANUELA;DESERTI, ALESSANDRO;Rizzo, F."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019553,-,2015,internazionale,-,-,-,-,-,-,-,SIMPACT Project. Deliverable 3.2. Comparative Report on Social Innovation across Europe,-,07.12 Altro,info:eu-repo/semantics/openAccess,4,"Terstriep, J.;Kleverbeck, M.;DESERTI, ALESSANDRO;Rizzo, F."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019564,-,2015,internazionale,-,-,-,-,-,-,-,My Neighbourhood | My City Project. Deliverable 6.5. Scalability Implementation and Assessment Report,-,07.12 Altro,info:eu-repo/semantics/closedAccess,7,"Oliveira, A.;DESERTI, ALESSANDRO;CONCILIO, GRAZIA;MOLINARI, FRANCESCO;Rizzo, F;Morelli, N.;Akbar, F."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/988152,-,2015,nazionale,-,-,-,-,-,-,-,Etica e progettualità,"Etica, progettualità, Design Thinking",07.12 Altro,info:eu-repo/semantics/closedAccess,1,"BOSONI, GIAMPIERO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/988153,-,2015,internazionale,-,-,-,-,-,-,-,Bakground week 3  day 3,"Architettura, Open City, Summer School",07.12 Altro,info:eu-repo/semantics/closedAccess,1,"BOSONI, GIAMPIERO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/989384,-,2015,nazionale,-,-,-,-,-,-,-,"Hacking Public Services: come riprogettare i servizi pubblici, con i cittadini.",#servicedesign #socialinnovation #civicactivism #sharingeconomy,07.12 Altro,none,1,"SELLONI, DANIELA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/989391,-,2015,nazionale,-,-,-,-,-,-,-,Ezio Manzini: design per l’innovazione sociale.,#designforsocialinnovation #culturadelprogetto #designthinking,07.12 Altro,info:eu-repo/semantics/openAccess,1,"SELLONI, DANIELA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/989392,-,2015,internazionale,-,-,-,-,-,-,-,Interviewed: Ezio Manzini on Design When Everybody Designs.,#designforsocialinnovation #sharingeconomy #designthinking,07.12 Altro,none,1,"SELLONI, DANIELA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1018896,eng;ita,2015,-,Class Editori e Laureate International Universities,-,-,-,STAMPA,Milano,Class Expo Pavilion Heritage Awards,Miglior Cluster Zone Aride. Agricoltura e Nutrizione.,"Zone Aride, Cultura Materiale, Risorse Idriche, Desertificazione, Design, Water Footprint.",07.13 Progetti,info:eu-repo/semantics/closedAccess,2,"COLLINA, LUISA MARIA VIRGINIA;CAMOCINI, BARBARA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1018993,ita,2015,-,-,-,-,-,-,-,-,Padiglione Zero per Expo2015,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019017,ita,2015,-,UniCredit Business Integrated Solutions Scpa,-,-,-,-,Milano,Concorso nazionale E3W,Unicredit Pavillion,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019025,ita,2015,-,-,-,-,-,-,-,-,Casa del Manzoni - Milano,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/983225,eng,2015,-,AIDI Associazione Italiana di Illuminazione - CNAPPC Consiglio Nazionale degli Architetti Pianificatori Paesaggisti e Conservatori,-,-,-,STAMPA,Roma,Urban Lightscape (concorso internazionale),"Progetto GENIUS LUCI  - Concorso internazionale ""URBAN LIGHTSCAPE"" - progetto vincitore","urban lighting, analysis,",07.13 Progetti,info:eu-repo/semantics/closedAccess,6,"Gentili, Helena;CASCIANI, DARIA;Santoro, Piero;Caggiano, Else;D'Alesio, Carlo;Di Filippo, Massimo"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/1044085,eng,2016,-,Springer,DEU,Canada,Cross-Cultural Design,STAMPA,-,-,Research Service Design Based on Online Public Service Platform — APP Design for Mutual Learning Through Sign Language Short Video,-,07.03 Design,info:eu-repo/semantics/closedAccess,1,Yin Liang
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1019570,ita,2016,-,-,ITA,Induno Olona,-,-,-,-,Censire la Bellezza: Liberty segreto a Induno Olona.,"Bellezza, Liberty, Varese, censimento",07.06 Mostra,info:eu-repo/semantics/closedAccess,6,"ANZANI, ANNA;BAILA, ANGELA;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA;Guglielmi, E.;Niglia, D."
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1022057,-,2016,-,-,-,-,-,-,-,-,Quasi segreti. Cassetti tra arte e design,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1022096,-,2016,-,-,-,-,-,-,-,-,Dimensione domestica. Achille e Pier Giacomo Castiglioni e una strana idea di arredamento. Atto I°,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1022098,-,2016,-,-,-,-,-,-,-,-,STANZE. Altre filosofie dell'abitare,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1037542,eng;ita,2016,-,-,-,-,-,-,-,-,"Mostra ""Le vie del Compasso d'Oro - XXI Triennale Milano"", Campus Bovisa - Politecnico di Milano",Premio Compasso d'Oro ADI,07.06 Mostra,info:eu-repo/semantics/openAccess,3,M. Parente;F. Zurlo;A. Manciaracina
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1038409,eng;ita,2016,-,Camera Nazionale della Moda Italiana,ITA,Milano,Crafting the Future. Storie di artigianalità e innovazione.,STAMPA,-,-,"Sezione ""Un'Italia artigiana"" nella mostra ""Crafting the Future. Storie di artigianalità e innovazione""  – Mudec 22-24 Settembre 2016.",-,07.06 Mostra,info:eu-repo/semantics/closedAccess,2,P. Bertola;F. Vacca
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1044983,eng;ita,2016,-,-,ITA,Subalterno1,-,-,-,-,Microfacts,-,07.06 Mostra,none,4,S. Maffei;A. Gianni;P. Bolzan;M. Pirovano
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1018796,-,2016,-,-,-,-,-,-,-,-,Ezio Manzini: idee e pratiche per una società cosmopolita,"innovazione sociale, co-design; service design",07.12 Altro,info:eu-repo/semantics/openAccess,1,"SELLONI, DANIELA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019548,-,2016,-,-,-,-,-,-,-,-,La Porta di Milano e le Dimensioni Invisibili. Relazioni tra arte e architettura nello spazio ambiente / Invisible Dimensions at the Porta di Milano. Relationships between art and architecture in ambient space,-,07.12 Altro,info:eu-repo/semantics/closedAccess,1,"Tibúrcio, Isa Helena"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1019969,-,2016,internazionale,-,-,-,-,-,-,-,The Social Innovation Journey Toolbox,-,07.12 Altro,info:eu-repo/semantics/openAccess,3,"CORUBOLO, MARTA;MERONI, ANNA;ROSSI, MARTINA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019021,ita,2016,-,-,-,-,-,-,-,-,"Centro Commerciale ""il Centro"" - Arese",-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,"DE LUCCHI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1019071,eng,2016,-,Kantar,-,-,-,-,Londra,Kantar Information is Beautiful Awards,The Missing Migrants Map,-,07.13 Progetti,none,2,"PELLEGRINI, VALERIO;MAURI, MICHELE"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1041126,eng;ita,2016,-,ADI Associazione per il Disegno Industriale,-,-,-,-,Milano,ADI Design Index 2016,Treni Leonardo per ATM Milano - ADI Design Index 2016,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,2,"A. Dominoni;QUAQUARO, BENEDETTO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1041134,ita,2016,-,Regione Lombardia,-,-,-,-,Milano,Eccellenze della Lombardia,Treni Leonardo per ATM Milano - Premio Eccellenze della Lombardia 2016,"treni leonardo, atm, transportation design",07.13 Progetti,info:eu-repo/semantics/closedAccess,2,A. Dominoni;B. Quaquaro
07 ALTRO::07.05 Esposizione,http://hdl.handle.net/11311/1050076,ita,2017,-,-,-,-,I Celti di Golasecca,-,-,-,I Celti di Golasecca,-,07.05 Esposizione,none,1,Davide Bruno
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1022094,-,2017,-,-,-,-,-,-,-,-,SaloneSatellite. 20 anni di nuova creatività,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1022095,-,2017,-,-,-,-,-,-,-,-,Dimensione domestica. Achille e Pier Giacomo Castiglioni e una strana idea di arredamento. Atto II,-,07.06 Mostra,none,1,"FINESSI, GIUSEPPE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1020016,-,2017,internazionale,-,-,-,-,-,-,-,Social Innovation Community EU Project. Deliverable 4.1. Report on SIC learning principles and processes,-,07.12 Altro,info:eu-repo/semantics/openAccess,3,"Rizzo, F.;DESERTI, ALESSANDRO;de Pous, M."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/1020020,-,2017,-,-,-,-,-,-,-,-,CIMULACT (Citizen and Multi-Actor Consultation on Horizon 2020): first draft of social needs based research programme scenarios. An illustrated proposal for the set of research programmes addressing the overarching social needs derived from the citizens’ visions.,-,07.12 Altro,info:eu-repo/semantics/closedAccess,3,"MERONI, ANNA;ROSSI, MARTINA;SELLONI, DANIELA"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1041173,eng;ita,2017,-,ADI Associazione per il Disegno Industriale,-,-,-,-,Milano,ADI Design Index 2017,Couture in Orbit - ADI Design Index 2017,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,A. Dominoni
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/1041174,ita,2017,-,Regione Lombardia,-,-,-,-,Milano,Eccellenze della Lombardia,Couture in Orbit - Premio Eccellenze della Lombardia 2017,-,07.13 Progetti,info:eu-repo/semantics/closedAccess,1,A. Dominoni
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/1053286,eng;ita,2018,-,Silvana Editoriale,ITA,"Cinisello Balsamo, Milano",-,STAMPA,-,-,"Maglia, Punto. Quarant'anni di tesori nascosti dell'archivio MF1",-,07.03 Design,info:eu-repo/semantics/closedAccess,1,R. Gaddi
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/1052994,-,2018,-,-,-,-,-,-,-,-,"Maglia, Punto. Quarant'anni di tesori nascosti nella storia dell'archivio MF1",-,07.06 Mostra,info:eu-repo/semantics/closedAccess,3,G. M. Conti;R. Gaddi;M. Motta
