dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958790,ita,2006,-,-,-,-,-,-,-,-,René Magritte. L'impero delle luci,-,07.03 Design,info:eu-repo/semantics/openAccess,2,"GADDI, ROSSANA;MARIANI, CIRO"
07 ALTRO::07.05 Esposizione,http://hdl.handle.net/11311/690252,ita;eng,2006,-,-,-,-,-,-,-,-,New Italian Design,Design italiano; Design; Allestimenti; Interni,07.05 Esposizione,info:eu-repo/semantics/closedAccess,3,"BRANZI, ANDREA;BIAMONTI, ALESSANDRO;Macchi D."
07 ALTRO::07.06 Mostra,http://hdl.handle.net/11311/758849,-,2006,-,-,-,-,-,-,-,-,Texture & Materials – Urban Light Walk,-,07.06 Mostra,none,1,"GEROSA, GIULIA MARIA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/252025,-,2006,nazionale,-,-,-,-,-,-,-,Puntare sulla gente per vendere di più,-,07.12 Altro,none,1,"ZURLO, FRANCESCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/268468,-,2006,nazionale,-,-,-,-,-,-,-,New Entertainment e Design Strategico,-,07.12 Altro,none,1,"ZURLO, FRANCESCO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533312,-,2006,-,-,-,-,-,-,-,-,A.D.A. Archivio Digitale di Architettura,-,07.12 Altro,none,7,"R. MINGUCCI;AMORUSO, GIUSEPPE;R. INGLESE;A. MARATA;G. BACCI;C. BARTOLOMEI;D. ANGELILLO"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533523,ita,2006,nazionale,-,-,-,Magazine online,-,-,-,Moda e Design: Cross Fertilization per l'innovazione,-,07.12 Altro,none,2,"CONTI, GIOVANNI MARIA;BERTOLA, PAOLA"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533556,ita,2006,nazionale,-,-,-,"D.A. DYNAMICAIR, la rivista per superare le barriere culturali",-,-,-,Fit-Suit: Biodesign per l’idrokinesiterapia,-,07.12 Altro,none,2,"CANINA, MARIA RITA;FERRARO, VENERE"
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533711,ita,2006,nazionale,-,-,-,Relazione interna per il Min. dei Trasporti,-,-,-,Il trasporto delle merci pericolose in galleria,-,07.12 Altro,none,4,"MAJA, ROBERTO;RAINOLDI, GIOVANNI;ROMAN D;SALIMBENI R."
07 ALTRO::07.12 Altro,http://hdl.handle.net/11311/533712,eng,2006,internazionale,-,-,-,"Deliverable for The Alpine Convention, Transport Workgroup",-,-,-,External Cost Assessment In Transalpine Corridors,-,07.12 Altro,none,2,"MAJA, ROBERTO;D. ROMANO'"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/664578,eng;ita,2006,-,"Eulda Books, Cacao Design,",-,-,-,-,Milano,European Logo Design Award 2006 (EULDA 06),European Logo Design Award (EULDA 06),-,07.13 Progetti,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/664580,eng,2006,-,Communication Arts Magazine,-,-,-,-,USA,47° Annual di Graphic Design,Award of Excellence «Communication Arts» (Usa),-,07.13 Progetti,none,1,"GUIDA, FRANCESCO ERMANNO"
07 ALTRO::07.13 Progetti,http://hdl.handle.net/11311/667394,ita,2006,-,Roma Metropolitane S.r.l.,-,-,-,-,"Roma, Italia","Concorso di Progettazione, Project Financing","Concorso di Progettazione, Project Financing, Metro D Roma, Fermate Ojetti e Pugliese e Nuovo Salario.",-,07.13 Progetti,none,6,"Mandataria Società Italiana per le Condotte D'acqua;Mandante Impresa Pizzarotti;C.;Responsabile del progetto Geodeta S. p. a.;G. Fioravanti;F. Galdo;PIERLUISI, GABRIELE"
07 ALTRO::07.03 Design,http://hdl.handle.net/11311/958784,ita;eng,2007,-,-,-,-,-,-,-,-,"Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado.",-,07.03 Design,info:eu-repo/semantics/openAccess,1,"GADDI, ROSSANA"
07 ALTRO::07.05 Esposizione,http://hdl.handle.net/11311/696728,-,2007,-,-,-,-,-,-,-,-,Transforme,-,07.05 Esposizione,none,4,"CONTI, GIOVANNI MARIA;Bonapace D.;Botta F.;Burani S."
