title,author,year,type,keywords,cluster
A passo lento nel tunnel,"GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",2008,07.12 Altro,-,nocluster
E sulla Milano-Venezia i conti non tornano,"GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",2008,07.12 Altro,-,nocluster
piattaforma LeNS,"VEZZOLI, CARLO ARNALDO",2008,07.12 Altro,-,nocluster
Leggere il contesto per orientare il progetto. Metodologie e approcci per la produzione e visualizzazione di conoscenza ad orientamento della pratica progettuale nel design della moda.,"COLOMBI, CHIARA",2008,07.12 Altro,-,nocluster
Occasioni di complessità sostenibile / Opportunities of sustainable complexity - Complessità e sostenibilià: il territorio e l'architettura n. 05,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",2008,07.12 Altro,-,nocluster
Gli spazi della complessità / The spaces of complexity - Complessità e sostenibilià: il territorio e l'architettura n. 06,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",2008,07.12 Altro,-,nocluster
Tendenze della ricerca universitaria - Complessità e sostenibilià: il territorio e l'architettura n. 07,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",2008,07.12 Altro,-,nocluster
Oltre l'architettura convenzionale / Beyond conventional architecture - Complessità e sostenibilià: il territorio e l'architettura n. 08,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",2008,07.12 Altro,-,nocluster
Nuovi spazi interattivi / New interactive spaces - Complessità e sostenibilià: il territorio e l'architettura n. 09,"PADOVANO, GABRIELLA;BLASI, CESARE;NEBULONI, ATTILIO;I. Anastasio;V. Arrigoni",2008,07.12 Altro,-,nocluster
Progettazione della comunicazione visiva e degli apparati comunicativi per il Museo Nazionale Archeologico di Taranto,"GUIDA, FRANCESCO ERMANNO;Carla De Luca;Giovanni Dema;Nicola Scotto di Carlo;Jaana Zammer",2008,07.13 Progetti,Identità visiva; segnaletica informativa e di orientamento; sito web,nocluster
Ponte di accesso al Triennale Design Museum,"DE LUCCHI, MICHELE",2008,07.13 Progetti,-,nocluster
Concorso Internazionale di Progettazione a Grado Unico Ristretto: “Amamontagnola” Roma.,"E. Avallone;G. Forte;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",2008,07.13 Progetti,-,nocluster
Time To Design,"GEROSA, GIULIA MARIA;M. Berghinz",2009,07.06 Mostra,-,nocluster
Opening Soon,"GEROSA, GIULIA MARIA;COLLINA, LUISA MARIA VIRGINIA;BRANZI, ANDREA",2009,07.06 Mostra,-,nocluster
PAOLO ULIAN 1990-2009,"FINESSI, GIUSEPPE",2009,07.06 Mostra,-,nocluster
ANGELO MANGIAROTTI SCOLPIRE/COSTRUIRE,"FINESSI, GIUSEPPE",2009,07.06 Mostra,-,nocluster
ALESSANDRO MENDINI,"FINESSI, GIUSEPPE",2009,07.06 Mostra,-,nocluster
PIO MANZU'. Quando il mondo era moderno.,"Giacinto Di Pietrantonio;Enrico Leonardo Fagone;FINESSI, GIUSEPPE",2009,07.06 Mostra,-,nocluster
Propsettive di design per i servizi Mobile secondo l'approccio User Centred,"PILLAN, MARGHERITA;RIZZO, FRANCESCA",2009,07.12 Altro,-,nocluster
Design Per. L'ambiente,"GUIDA, FRANCESCO ERMANNO;Chia G.",2009,07.12 Altro,-,nocluster
The Identity of Cultural Heritages between Real and Virtual. New Languages and Virtuous Devices in the Age of Transition.,"GUIDA, FRANCESCO ERMANNO",2009,07.12 Altro,-,nocluster
Freesbe: Free sound diffusion,"MAURI, MICHELE;Desiato, Andrea;Paolo, Dusi;Napoli, Mauro",2009,07.13 Progetti,-,nocluster
Citymurmur,"QUAGGIOTTO, MARCO;CAVIGLIA, GIORGIO;GRAFFIETI, MICHELE;S. Granados Lopez;D. Guido;RICCI, DONATO;SCAGNETTI, GAIA",2009,07.13 Progetti,Media; news; city; cartography; mapping; communication design; urban space,nocluster
DRM - Design Research Maps,"BERTOLA, PAOLA;MAFFEI, STEFANO;BIANCHINI, MASSIMO;VILLARI, BEATRICE",2009,07.13 Progetti,Design Research; Maps; Academic Design Research,nocluster
"Il Ponte della Pace, Tbilisi (Georgia)","DE LUCCHI, MICHELE",2009,07.13 Progetti,-,nocluster
Mediterranean Design. Tra presente e futuro,"FERRARA, MARIA RITA;C. Ferrara",2009,07.13 Progetti,Design; Mediterraneo; visul design; product design; fotografia; designer,nocluster
Rubens e i fiamminghi,"GADDI, ROSSANA",2010,07.03 Design,-,nocluster
BiNOMi – Biennale Nord Ovest Milano,"GEROSA, GIULIA MARIA",2010,07.06 Mostra,-,nocluster
GIOVANNI LEVANTI,"FINESSI, GIUSEPPE",2010,07.06 Mostra,-,nocluster
Nel tunnel dell'Alta Velocità,"BERIA, PAOLO;GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO",2010,07.12 Altro,alta velocità; ferrovie; analisi costi benefici; ex-post,nocluster
L'impatto delgi ITS per la riduzione di CO2,"STUDER, LUCA PASINO;V. Mauro",2010,07.12 Altro,-,nocluster
Italian Light Contract,"TURINETTO, MARCO",2010,07.12 Altro,-,nocluster
Choosing between ecology awareness and business,"TURINETTO, MARCO",2010,07.12 Altro,-,nocluster
Light for a new product identity,"TURINETTO, MARCO",2010,07.12 Altro,-,nocluster
"Lighting ethics, enviroment","TURINETTO, MARCO",2010,07.12 Altro,-,nocluster
"Individualised Consumption: is the future industry ready for a complex, higly-differentiated market ?","TURINETTO, MARCO",2010,07.12 Altro,-,nocluster
On living well in today's enviroments,"TURINETTO, MARCO",2010,07.12 Altro,-,nocluster
A Moda projectada,"COLOMBI, CHIARA",2010,07.12 Altro,-,nocluster
100 virtuous cities,"PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE",2010,07.13 Progetti,-,nocluster
100 virtuous cities,"PICCINNO, GIOVANNA;LEGA, ELISA;FASSI, DAVIDE",2010,07.13 Progetti,-,nocluster
Parquet Medoc,"DE LUCCHI, MICHELE",2010,07.13 Progetti,product design,nocluster
Il progetto illuminotecnico per la Mostra di Hopper a Roma,"MURANO, FRANCESCO",2010,07.13 Progetti,Illuminotecnica; Illuminazione Opere d'Arte; Edward Hopper,nocluster
"CONCORSO D’IDEE
PER LA PROGETTAZIONE DI PIAZZA XX SETTEMBRE E DEGLI SPAZI ANNESSI","GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;D. Prinzo",2010,07.13 Progetti,-,nocluster
Concorso di idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili,"GEROSA, GIULIA MARIA;G. LAssandro;D. Fumagalli;D. Prinzo",2010,07.13 Progetti,-,nocluster
Boldini e la Belle Epoque,"GADDI, ROSSANA",2011,07.03 Design,-,nocluster
Autoproduzioni Italiane,"MAFFEI, STEFANO;GIANNI, ANDREA ENRICO;BOLZAN, PATRIZIA",2011,07.06 Mostra,-,nocluster
DI VASO IN FIORE,"FINESSI, GIUSEPPE",2011,07.06 Mostra,-,nocluster
L’unità d’Italia: testimonianze risorgimentalinei musei e nel territorio della Toscana,"MAZZANTI, ANNA",2011,07.12 Altro,unità; risorgimento; arte,nocluster
"Arena Models. Deliverable 2.1 for Periheria project, Grant Agreement number: 271015","CONCILIO, GRAZIA;RIZZO, FRANCESCA",2011,07.12 Altro,-,nocluster
Deliverable 2.1: Scenarios description. Deliverable for the European Project Life 2.0 LIFE 2.0Geographical positioning services to support independent living and social interaction of elderly people ICT-PSP-270965,"RIZZO, FRANCESCA;COSTA, FIAMMETTA CARLA ENRICA;Oliva S.",2011,07.12 Altro,-,nocluster
Esposizione personale: PARIS_PLIS  Gabriele Pierluisi a cura di Martina Cavallarin.  Parigi dal 03-02-2011 al 03-03-2011,"PIERLUISI, GABRIELE",2011,07.12 Altro,città; paesaggio urbano; design; paesaggio; pittura; pittura digitale; spazio; 3D e 2D.,nocluster
Good Idea + Good Design = Good Service ? Learning how to evaluate Service Design,"MAFFEI, STEFANO;E. Pacenti;VILLARI, BEATRICE",2011,07.12 Altro,-,nocluster
Natural Fashion. From symbolic to cognitive innovation through crafts and design,"COLOMBI, CHIARA",2011,07.12 Altro,-,nocluster
"Brevetto, Design e ""forma del tempo"". I brevetti nella storia del design italiano","BOSONI, GIAMPIERO",2011,07.12 Altro,-,nocluster
Dust: A Visualization Tool Supporting Parents’ School-Choice Evaluation Process,"AZZI, MATTEO;CAVIGLIA, GIORGIO;RICCI, DONATO;CIUCCARELLI, PAOLO;Emanuele Bonetti;Loredana Bontempi",2011,07.12 Altro,cartography; Data visualization; Decision Support Systems; Open Data,nocluster
NUTRIRE MILANO. Seconda annualità del progetto - Relazione al bilancio.,"MERONI, ANNA;SIMEONE, GIULIA;CORUBOLO, MARTA;D. Cantu;PIREDDA, FRANCESCA;A. Arossa;P. Bolzacchini;A. Cecchini;E. Nasuelli",2011,07.12 Altro,Service Design; Strategic Design; Sustainable development,nocluster
Smart Citizens community directory. Deliverable 3.1.1 Progetto europeo Peripheria,"CONCILIO, GRAZIA;RIZZO, FRANCESCA;e.t. alii",2011,07.12 Altro,-,nocluster
Sociable Housing,"MERONI, ANNA;FERRI, GIORDANA",2011,07.12 Altro,Service Design,nocluster
"Per l'Esposizione, mi raccomando...! Milano e l’Esposizione internazionale del Sempione del 1906 nei documenti del Castello Sforzesco","G. Botti;CORDERA, PAOLA;RICCI, GIULIANA",2011,07.13 Progetti,-,nocluster
Uffici del Triennale Design Museum,"DE LUCCHI, MICHELE",2011,07.13 Progetti,-,nocluster
Filiali Superflash Intesa Sanpaolo,"DE LUCCHI, MICHELE",2011,07.13 Progetti,-,nocluster
Housing Contest - Bando europeo per la formazione di un Repertorio di progetti per edifici residenziali ad alte prestazioni e basso costo,"BELLINI, OSCAR EUGENIO;SCOCCIMARRO, ANTONIO;DAGLIO, LAURA;DALL'O', GIULIANO;SARTO, LUCA;SANNA, NICOLA;E. Pili;A. Morettini;S. Lugano;DLC s. r. l.;COLLINA, LUISA MARIA VIRGINIA;GEROSA, GIULIA MARIA;T. Belletti;P. Catena",2011,07.13 Progetti,-,nocluster
"Concorso nazionale per ""INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX""","DAGLIO, LAURA;GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;A. Loi;LANZAROTTI, GRETA",2011,07.13 Progetti,-,nocluster
