dc.type.full	dc.identifier.uri	dc.date.issued	dc.title	dc.authority.people	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/1019069	2009	Freesbe: Free sound diffusion	MAURI, MICHELE;Desiato, Andrea;Paolo, Dusi;Napoli, Mauro	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/563693	2009	Citymurmur	QUAGGIOTTO, MARCO;CAVIGLIA, GIORGIO;GRAFFIETI, MICHELE;S. Granados Lopez;D. Guido;RICCI, DONATO;SCAGNETTI, GAIA	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/564313	2009	DRM - Design Research Maps	BERTOLA, PAOLA;MAFFEI, STEFANO;BIANCHINI, MASSIMO;VILLARI, BEATRICE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640516	2009	Il Ponte della Pace, Tbilisi (Georgia)	DE LUCCHI, MICHELE	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/693509	2009	Mediterranean Design. Tra presente e futuro	FERRARA, MARIA RITA;C. Ferrara	
07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958788	2010	Rubens e i fiamminghi	GADDI, ROSSANA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/758842	2010	BiNOMi – Biennale Nord Ovest Milano	GEROSA, GIULIA MARIA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/924758	2010	GIOVANNI LEVANTI	FINESSI, GIUSEPPE	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/574586	2010	Nel tunnel dell'Alta Velocità	BERIA, PAOLO;GRIMALDI, RAFFAELE;PONTI, MARCO GUIDO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/582027	2010	L'impatto delgi ITS per la riduzione di CO2	STUDER, LUCA PASINO;V. Mauro	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/583074	2010	Italian Light Contract	TURINETTO, MARCO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/585672	2010	Choosing between ecology awareness and business	TURINETTO, MARCO	
