title,author,year,type,keywords,cluster
Advanced Living Scenarios. Contemporary Trends in European Housing,"BOSONI, GIAMPIERO;MANFREDINI, MANFREDO;PIARDI, SILVIA ELVIRA MARIA",2006,06.1 Curatela,-,nocluster
Salotti d'autore,"ARQUILLA, VENANZIO;MAFFEI, STEFANO;B. Parini",2006,06.1 Curatela,-,nocluster
"Designing Designers: Design Evolution by east and west. New ambients, new products, new designers","COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO",2006,06.1 Curatela,italian design; design; chinese design; design professionals scenario; east-west design relations.,nocluster
Arte in Maremma nella prima metà del Novecento,"E. Crispolti;MAZZANTI, ANNA;L. Quattrocchi",2006,06.1 Curatela,storicismo; verismo; realismo storico; realismo; sindacali fasciste; scultura simbolista; scultura funebre; macchiaioli; arte sociale; fotografia; archivi fotografici; arte e architettura fra le due guerre; arte decorativa; riviste,nocluster
L'archivio dell'architetto Mario Terzaghi presso il Casva,"FERABOLI, MARIA TERESA",2006,06.1 Curatela,Augusto Magaghi; Mario Terzaghi; archivi del design; archivi di architettura,nocluster
Corpi arredativi,"Guerriero, Alessandro;Bobbioni, Mariapia;CRIPPA, DAVIDE;DI PRETE, BARBARA",2006,06.1 Curatela,-,nocluster
"Design per la sostenibilità. Strumenti e strategie per la decade ""Educazione per lo sviluppo sostenibile"" Nazioni Unite (2005-2014)","P. Tamborrini;VEZZOLI, CARLO ARNALDO",2007,06.1 Curatela,-,nocluster
Playing Design,"L. Cavadini;DELL'ACQUA BELLAVITIS, ARTURO",2007,06.1 Curatela,-,nocluster
Packaging controverso,"BUCCHETTI, VALERIA LUISA",2007,06.1 Curatela,-,nocluster
Designing Designers: Unbranded design for new user expectations,"COLLINA, LUISA MARIA VIRGINIA;SCULLICA, FRANCESCO",2007,06.1 Curatela,Unbranded design,nocluster
Movie Design for Experience Project. Visual scenarios for Illy concept store,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO",2007,06.1 Curatela,-,nocluster
"Sole vento acqua vegetazione e tecnologie avanzate: matrici di un nuovo approccio progettuale al territorio, architettura e design strategico.","BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA",2007,06.1 Curatela,-,nocluster
La Moda e il Design. Il trasferimento di conoscenza a servizio dell'innovazione,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA",2007,06.1 Curatela,-,nocluster
