title,author,year,type,keywords,cluster
"INTERDISCIPLINARY EDUCATION AGENDA, AN ESSENTIAL DRIVER FOR INNOVATION","VACCA, FEDERICA;T. Warshavski",2016,02.1 Contributo in Volume,-,nocluster
MODELING NEW APPROACHES IN EDUCATION: PROCESSES AND TOOLKITS,"COLOMBI, CHIARA;VACCA, FEDERICA",2016,02.1 Contributo in Volume,-,nocluster
"OBJECTS OF MY AFFECTION: A LARGE COMPANY, SOCIAL INNOVATION, AND THE LOCAL MARKET","VACCA, FEDERICA;Karmon, A.",2016,02.1 Contributo in Volume,-,nocluster
Il futuro presente nel progetto di Moda: l’archivio come strumento di anticipazione,"COLOMBI, CHIARA;VACCA, FEDERICA",2016,02.1 Contributo in Volume,-,nocluster
Segni di identità,"BUCCHETTI, VALERIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
Longevicity,"ZURLO, FRANCESCO;SEDINI, CARLA;VIGNATI, ARIANNA",2015,02.1 Contributo in Volume,"Ageing, Exploitation, Exploration",nocluster
Psicologia del sottoterra,Barbara Anna,2017,02.1 Contributo in Volume,-,nocluster
Ri-fondamenti del design: interpretare saperi,"PIZZOCARO, SILVIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
L'identità vestita. Frida Kahlo e la moda.,"BERTOLA, PAOLA;LINFANTE, VITTORIO",2016,02.1 Contributo in Volume,-,nocluster
Design for Furnishing to Enhance the Routes in the Spina Verde Park in Como,"DE PAOLIS, ROBERTO",2016,02.1 Contributo in Volume,-,nocluster
System Design For Sustainable Energy For All. A new knowledge base and know-how developed within the LeNSes European and African project- FEEDING A WORLD WHO CAN GROW,"BRUNO, DAVIDE MARIA",2016,02.1 Contributo in Volume,-,nocluster
Storytelling & Worldmaking: The World-building Activity as a Design Practice,"CIANCIA, MARIANA",2016,02.1 Contributo in Volume,-,nocluster
Wayfinding Accessible Design,"DE PAOLIS, ROBERTO;GUERINI, SILVIA",2015,02.1 Contributo in Volume,-,nocluster
"Oggetto, prodotto, merce: il packaging trasforma l’alimento.","BUCCHETTI, VALERIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
"Il genere tra declinazione e traduzione. Stereotipi, grammatiche comunicative e modelli sociali.","BUCCHETTI, VALERIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
I modelli di genere attraverso le forme di rappresentazione.,"BUCCHETTI, VALERIA LUISA;REINA, MARTA ISABELLA",2016,02.1 Contributo in Volume,-,nocluster
"An Italian family affair. Florence, hate and love. Amazing experience","SCULLICA, FRANCESCO",2016,02.1 Contributo in Volume,-,nocluster
The Pedagogical Unconscious,"FRANCESCHINI, SILVIA",2017,02.1 Contributo in Volume,"Experimental Pedagogical Projects, Art and Design for Social Change",nocluster
L’ecologia non esisteva. Ipotesi pre-ecologiche nel movimento radical,"FRANCESCHINI, SILVIA",2016,02.1 Contributo in Volume,"Ecologia, Architettura Radicale, Design per il Cambiamento Sociale",nocluster
Figuring Out the Interiors through the Geometric Tools of Representation: The Illusory Cast of Design,"AMORUSO, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
"Alle radici del design for social change. Il caso ""Volterra '73""","DEVECCHI, ALICE",2016,02.1 Contributo in Volume,-,nocluster
Una polifonia di segni e figure. La Gola di Gianni Sassi,"BAULE, GIOVANNI;BUCCHETTI, VALERIA LUISA",2016,02.1 Contributo in Volume,"Design grafico, design editoriale, design della comunicazione, La Gola, Gianni Sassi",nocluster
Que reste-t-il?,"IRACE, FULVIO",2015,02.1 Contributo in Volume,Le Corbusier,nocluster
Design e Humanities al Politecnico di Milano,"PENATI, ANTONELLA VALERIA;CELASCHI, FLAVIANO;TROCCHIANESI, RAFFAELLA",2016,02.1 Contributo in Volume,"Design&Humanities, cultura politecnica, interdisciplinarietà",nocluster
Design Envisioning for Museums: the experience at Museo Diocesano,"LUPO, ELEONORA;TROCCHIANESI, RAFFAELLA",2016,02.1 Contributo in Volume,"museum, cultural experience, digital technologies",nocluster
Researching by design and co-designing with the users an intercultural museum experience,"LUPO, ELEONORA;TROCCHIANESI, RAFFAELLA",2016,02.1 Contributo in Volume,"intercultural museum, cultural experience, co-design",nocluster
Uma abordagem semiótica e narrativa do exhibit design /A semiotic approach and narrative of exhibit design,"TROCCHIANESI, RAFFAELLA",2016,02.1 Contributo in Volume,"exhibition design, narrazione",nocluster
