dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.medium;dc.title;dc.subject.keywordsita;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504085;ita;2008;-0;-0;Bruno Mondadori;ITA;MILANO;-0;Vita da stilista. Il ruolo sociale del fashion designer;-0;fashion; cultural production;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1056752;eng ita;2010;-0;-0;DeAgostini;ITA;Novara;STAMPA;Codex Atlanticus. L’architettura, le feste e gli apparati. Disegni di Leonardo dal Codice Atlantico;-0;-0;03.1 Monografia o trattato scientifico;none;1;Cordera Paola;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1003330;ita;2012;Comitato scientifico;-0;FrancoAngeli srl;ITA;Milano;STAMPA;Cartografie del sapere. Interfacce per l'accesso agli spazi della conoscenza;design della comunicazione, cartografia,  visualizzazione informazioni;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;QUAGGIOTTO, MARCO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1045958;eng ita;2012;Esperti non anonimi;-0;Mandragora s.r.l.;ITA;Firenze;-0;Benedetto Luti: l'ultimo maestro;Benedetto Luti, Arte, Pittura, Settecento, Firenze, Roma, collezionismo, catalogo ragionato, Medici, Arcadia;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;Rodolfo Maffeis;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1056751;ita;2014;Comitato scientifico;-0;Bononia University Press;ITA;Bologna;STAMPA;La fabbrica del Rinascimento. Frédéric Spitzer mercante d'arte e collezionista nell'Europa e delle nuove nazioni;-0;-0;03.1 Monografia o trattato scientifico;none;1;Cordera, Paola;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1005063;ita;2015;-0;-0;ATì;ITA;Milano;STAMPA;L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale;semiotica, design, progetto, inventiva,;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/openAccess;2;"ZINGALE, SALVATORE;BONFANTINI, MASSIMO ACHILLE";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1006784;eng;2015;-0;-0;MAGGIOLI EDITORE;ITA;SANTARCANGELO DI ROMAGNA;STAMPA;FOR DESIGNERS WITH THEIR HEAD BEYOND THE CLOUDS;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;DOMINONI, ANNALISA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1028150;ita;2015;Comitato scientifico;-0;Maggioli spa;ITA;-0;STAMPA;Sulla spiaggia;design degli spazi;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;FASSI, DAVIDE;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1039133;eng;2015;Comitato scientifico;-0;SPRINGER;-0;-0;-0;Designing Pilot Projects as Boundary Objects. A Brazilian Case Study in the Promotion of Sustainable Design;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;2;"F. Zurlo;DOS GUIMARAES ALVIM NUNES, VIVIANE";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1057657;ita;2015;-0;-0;Esperia;-0;-0;-0;L'isola rovescia;-0;-0;03.1 Monografia o trattato scientifico;none;1;Giulio Ceppi;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1038437;eng ita;2015;-0;-0;Marsilio Editori;ITA;Venezia;STAMPA;GIOIELLI IN TAVOLA | FOOD JEWELLERY;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;2;L. Tenuta;V. Vecchi;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1038440;eng ita;2015;-0;-0;MARSILIO EDITORI;ITA;VENEZIA;STAMPA;SKIN: LA SUPERFICIE DEL GIOIELLO | SKIN: THE SURFACE OF THE JEWEL;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;L. TENUTA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1001243;eng;2016;-0;-0;Esculapio;ITA;Bologna;STAMPA;Visual Retailing. Shaping the sense of spaces;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;IANNILLI, VALERIA MARIA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1003807;ita;2016;-0;-0;Franco Angeli;ITA;Milano;STAMPA;Transmedia Design Framework. Un approccio design-oriented alla Transmedia Practice;-0;Transmedia Design;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;1;CIANCIA, MARIANA;;;;;;;;;;
