dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.place;dc.publisher.country;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/535927;eng;2000;-0;internazionale;-0;MILANO;ITA;Design Plus Research: proceedings of the Politecnico di Milano conference.;-0;-0;Milano;Convegno internazionale DESIGN PLUS RESEARCH;;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;3;"PARENTE, MARINA;CRISTALLO V;MORONE A.";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/537871;-0;2000;-0;internazionale;-0;-0;-0;DesignPlusResearch;-0;-0;-0;DesignPlusResearch;;-0;04.1 Contributo in Atti di convegno;none;1;COSTA, FIAMMETTA CARLA ENRICA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/537872;ita;2000;-0;internazionale;Giannini;-0;-0;-0;-0;-0;-0;Progetto abitare verde. Riciclare: Tecniche esperienze e prospettive nell'Architettura e nel Design;;-0;04.1 Contributo in Atti di convegno;none;1;COSTA, FIAMMETTA CARLA ENRICA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/538489;eng;2000;Comitato scientifico;internazionale;-0;-0;ITA;Atti 4th world congress Aluminium 2000;-0;-0;Brescia Italia;Atti 4th world congress Aluminium 2000;;innovazione, processi produttivi e design;04.1 Contributo in Atti di convegno;none;1;BRUNO, DAVIDE MARIA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/542495;-0;2000;-0;internazionale;-0;-0;-0;Protezione dal rischio di incendio nelle gallerie ferroviarie e stradali - Quaderno AISCAT;-0;-0;Roma;Protezione dal rischio di incendio nelle gallerie ferroviarie e stradali;;-0;04.1 Contributo in Atti di convegno;none;1;MAJA, ROBERTO;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/558511;eng;2000;Sì, ma tipo non specificato;internazionale;-0;Milano;ITA;-0;-0;-0;Milano - Politecnico di Milano;Design Plus Research;;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;1;PIZZOCARO, SILVIA LUISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/558588;eng;2000;-0;internazionale;-0;-0;-0;-0;-0;-0;Milano - Politecnico di MIlano;International Symposium on the dimension of industrial design research;;-0;04.1 Contributo in Atti di convegno;none;2;"MASCHI, SIMONA;PENATI, ANTONELLA VALERIA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/558648;eng;2000;Sì, ma tipo non specificato;internazionale;UTT and ICAST - Université de Technologie de Troyes;-0;-0;-0;-0;-0;Troyes, France;Proceeding of the first  International Conference on Industrial Ecology and Sustainability, D. Bourg, S. Erkman;;-0;04.1 Contributo in Atti di convegno;none;1;PIZZOCARO, SILVIA LUISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/558805;eng;2000;Sì, ma tipo non specificato;internazionale;-0;-0;ITA;-0;-0;-0;Milano;Design Plus Research;;-0;04.1 Contributo in Atti di convegno;none;2;"DOMINONI, ANNALISA;TRABUCCO, FRANCESCO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/558903;eng;2000;-0;internazionale;-0;-0;-0;-0;-0;-0;Milano;Design Plus Research, (a cura di) S. Pizzocaro, A. Arruda, D. De Moraes;;-0;04.1 Contributo in Atti di convegno;none;2;"CHIAPPONI, MEDARDO;COSTA, FIAMMETTA CARLA ENRICA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/881676;ita;2000;Nessuno;nazionale;Grafo;Brescia;ITA;Arte e architettura nello spazio di Lombardia tra le due guerre;-0;-0;Brescia;Arte e architettura nello spazio di Lombardia tra le due guerre;;Cremona; storia dell'architettura;04.1 Contributo in Atti di convegno;none;1;FERABOLI, MARIA TERESA;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/243026;-0;2001;-0;internazionale;-0;-0;-0;-0;-0;-0;Kaunas (Lituania), 5-6 april 2001;Mechanika 2001 : Proceedings of the International Conference;;-0;04.1 Contributo in Atti di convegno;none;5;"P. Allara;G. Campa;CANINA, MARIA RITA;S. Della;ROVETTA, ALBERTO";;;;;;;;
