dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/638724;ger;2003;-0;Stiftung Preussischer Kulturbesitz rappresentato da Bundesamt für Bauwesen und Raumordnung (BBR)  Projekteferat Museumsinsel;-0;-0;-0;-0;Berlino;Concorso per gli interni del Museo Egizio e Museum Preistorico;Allestimento degli interni e grafica del Neues Museum Berlino;-0;07.13 Progetti;none;1;DE LUCCHI, MICHELE;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667402;ita;2003;-0;Europan Italia_Comune di Bagheria;-0;-0;-0;-0;Bagheria (PA), Italia;Concorso Internazionale Europan 7;Concorso Internazionale Europan 7: “periferia-IN” sito di Bageria (PA), Italia;-0;07.13 Progetti;none;6;"E. Avallone;M. De Angelis;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/667405;ita;2003;-0;Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise;-0;-0;-0;-0;Teramo, Italia;Concorso internazionale di progettazione in due fasi;Concorso internazionale di progettazione in due fasi “Mille idee per un concorso” per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.;-0;07.13 Progetti;none;8;"E. Avallone;M. Cocciolito;F. Galdo;G. Lupoi;M. Musmeci;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/689382;ita;2003;-0;Regione Puglia;-0;-0;-0;-0;Bari;Progettazione;Nuova Sede del Consiglio Regionale;-0;07.13 Progetti;none;5;"P. Portoghesi;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;M. Ruscelli";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/689384;ita;2003;-0;Comune di Pontecagnano Faiano;-0;-0;-0;-0;Comune di Pontecagnano Faiano;Internazionale di progettazione;"Centro Europeo per le Creatività Emergenti - concorso internazionale ""ex Tabacchificio Centola""";-0;07.13 Progetti;none;3;"BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533385;-0;2004;nazionale;-0;-0;-0;DVD MULTIMEDIALE;-0;-0;-0;LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI;-0;07.12 Altro;none;2;"GALBIATI, MARIA LUISA;GALLI FRANCESCO";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533386;-0;2004;internazionale;-0;-0;-0;DVD MULTIMEDIALE ITALIANO E INGLESE;-0;-0;-0;GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE;-0;07.12 Altro;none;2;"GALBIATI, MARIA LUISA;FRANCESCO GALLI";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533600;-0;2004;nazionale;-0;-0;-0;Rapporto interno;-0;-0;-0;Studio di fattibilità per una metrotranvia in Como;-0;07.12 Altro;none;4;"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';D. ROSSI";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533601;-0;2004;nazionale;-0;-0;-0;Rapporto interno;-0;-0;-0;Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services;-0;07.12 Altro;-0;5;"COLORNI VITALE, ALBERTO;D. CICCARELLI;A. LUE';V. MORROCCHI;D. ROSSI";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/664582;ita;2004;-0;Comune di Carpi. Assessorato alla cultura;-0;-0;-0;-0;Carpi - Modena;Sistema di identità visiva di Palazzo dei Pio a Carpi;Sistema di identità visiva di Palazzo dei Pio a Carpi;-0;07.13 Progetti;none;1;GUIDA, FRANCESCO ERMANNO;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/665878;ita;2004;-0;Camera di Commercio Industria Artigianato e Agricoltura di Mantova;-0;-0;-0;-0;Oltrepò Mantovano;"Contratto di ricerca per la ""Definizione e attuazione di un Piano di marketing territoriale per l’area dell’Oltrepò Mantovano""";Piano di marketing territoriale per l’area dell’Oltrepò Mantovano;Marketing territoriale; Valorizzazione del capitale territoriale; Turismo; Comunicazione;07.13 Progetti;none;7;"SCHIAFFONATI, FABRIZIO;STEVAN, CESARE ANTONIO;MUSSINELLI, ELENA GERMANA;CASONI, GIORGIO;CELASCHI, FLAVIANO;FANZINI, DANIELE;TROCCHIANESI, RAFFAELLA";;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/689386;ita;2004;-0;Comune di Olgiate Molgora;-0;-0;-0;-0;Comune di Olgiate Molgora;Idee;Concorso di idee per un centro socio-ricreativo da realizzare sull’area pubblica denominata Nava;-0;07.13 Progetti;none;5;"NEBULONI, ATTILIO;R. Bosia;T. Bosia;M. Besseghini;R. Malvestiti";;;;;
07 ALTRO::07.03 Design;http://hdl.handle.net/11311/958792;ita;2005;-0;-0;-0;-0;-0;-0;-0;-0;Picasso. La seduzione del classico;-0;07.03 Design;info:eu-repo/semantics/openAccess;2;"GADDI, ROSSANA;MARIANI, CIRO";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533387;-0;2005;internazionale;-0;-0;-0;DVD MULTIMEDIALE ITALIANO E INGLESE;-0;-0;-0;MANTEROMOOD.DVD MULTIMEDIALE;-0;07.12 Altro;none;2;"GALBIATI, MARIA LUISA;FRANCESCO GALLI";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/687794;-0;2005;-0;-0;-0;-0;-0;-0;-0;-0;Le tecnologie dell’informazione e della comunicazione e lo sviluppo locale;-0;07.12 Altro;none;2;"MANZINI, EZIO;RIZZO, FRANCESCA";;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/638720;eng ita;2005;-0;Fondazione Giorgio Cini Onlus;-0;-0;-0;-0;Venezia;"Concorso internazionale di progettazione ""Manica Lunga, Nuova Biblioteca""";Biblioteca di Storia dell'Arte e restauro della Manica Lunga;-0;07.13 Progetti;info:eu-repo/semantics/closedAccess;1;DE LUCCHI, MICHELE;;;;;
