dc.publisher.place;dc.type.referee;dc.publisher.country;item.collection;item.openaireRights;dc.subject.keywordsita;dc.language.iso;dc.subject.keywords;dc.identifier.uri;dc.date.issued;dc.type.full;dc.relation.ispartofbook;item.journal.title;dc.title;dc.relation.medium;dc.description.numberofauthors;dc.publisher.name;dc.authority.people;dc.type.circulation;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng;-0;http://hdl.handle.net/11311/1017175;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;PAD;Mapping the territory for cultural development. The methodological assumptions of Artificio Project;ELETTRONICO;1;-0;GADDI, ROSSANA;-0;;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;-0;http://hdl.handle.net/11311/1017614;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;FLASH ART;FLASH ART;FLASH ART;STAMPA;1;-0;CAPPELLIERI, ALBA;-0;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;DESIGN FOR CHILDREN, triennale di milano, alba cappellieri, politecnico di milano, italian design,;http://hdl.handle.net/11311/1017621;2017;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;IL GIORNALE DELL'ARCHITETTURA;IL GIORNALE DELL'ARCHITETTURA;DESIGN FOR CHILDREN;ELETTRONICO;1;-0;CAPPELLIERI, ALBA;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;CMF design, materiali, design primario, Trini Castelli;eng ita;;-0;http://hdl.handle.net/11311/1017974;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;ABITARE;ABITARE;Clino Trini Castelli, La pratica della lungimiranza - The Practice of Foresight;STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;-0;http://hdl.handle.net/11311/1017976;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;DOMUS;DOMUS;Le mutazioni del contract - The Changing Contract Sector;STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng jpn;;-0;http://hdl.handle.net/11311/1017978;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;APPROACH;APPROACH;Aoi's Planned Hope;STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;chi;Italian design, modo italiano;http://hdl.handle.net/11311/1017979;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;ZHUANGSHI;"The Substance of Italian Design: Reflecting on the Essential Characters of the ""Modo"" of Design in Italy";STAMPA;2;-0;"BOSONI, GIAMPIERO;Lecce C.";-0;;;;;;;;;;;;;;
-0;-0;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng ita;;fre;dut;design italiano, maestri,;http://hdl.handle.net/11311/1018137;CARTADITALIA;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;CARTADITALIA;"L'âge d'or dei ""maestri"" del design italiano, The âge d'or of the ""masters"" of italian design, L'âge d'or des ""maîtres"" du design italien, De 'gouden eeuw' van de 'meesters' van het Italliaanse design";STAMPA;1;-0;BOSONI, GIAMPIERO;-0;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/closedAccess;-0;eng ita;;Design, Innovazione sociale, Prodotto, Emergenza,;http://hdl.handle.net/11311/1018221;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN;;Nuvole in viaggio;STAMPA;1;-0;BIAMONTI, ALESSANDRO;-0;;;;;;;;;;;;;
-0;Comitato scientifico;-0;01.1 Articolo in Rivista;info:eu-repo/semantics/openAccess;-0;eng;-0;http://hdl.handle.net/11311/1018222;2016;01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista;-0;CULTURA E SCIENZE DEL COLORE / COLOR CULTURE AND SCIENCE;Domestic Horticultural – Centric Lighting Design;ELETTRONICO;3;-0;"CASCIANI, DARIA;MUSANTE, FULVIO;ROSSI, MAURIZIO";-0;;;;;;;;;;;;;;
