dc.publisher.place,dc.type.referee,item.collection,item.openaireRights,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.medium,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505478,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,2,DATIVO,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA ERIK",Durabilità e scadenza nella comunicazione di prodotto
ROMA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/505499,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,3,Aracne,"NEBULONI, ATTILIO;BLASI C;PADOVANO G.",Verso un’architettura complessa e sostenibile
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505562,2000,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,CHE,2,polidesign,"PENATI, ANTONELLA VALERIA;ALBERTO SEASSARO",Didattica&design. Prodotti e processi formativi nell'università che cambia
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505564,1999,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,ETAS,"PENATI, ANTONELLA VALERIA",Mappe dell’innovazione. Il cambiamento tra tecnica economia e società
Milano,-,03.1 Monografia o trattato scientifico,none,-,design; beni culturali,http://hdl.handle.net/11311/505565,2009,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,-,1,FrancoAngeli,"LUPO, ELEONORA",Il design per i Beni culturali. Pratiche e processi innovativi di valorizzazione
MILANO,Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,"design tessile, distretti industriali, seta",http://hdl.handle.net/11311/505604,2000,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,2,POLI.design,"DE PAOLIS, ROBERTO;E. REDAELLI","Design & distretto tessile comasco. Casi studio nel polo del lusso: cravatta, arredo, moda."
Napoli,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505772,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,4,Sistemi Editoriali Esselibri,"M. Grosso;G. Peretti;PIARDI, SILVIA ELVIRA MARIA;SCUDO, GIOVANNI",Progettazione ecocompatibile dell' architettura
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/505794,1972,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,2,Franco Angeli,"PONTI, MARCO GUIDO;P. FANO",Il traffico urbano in Italia
Roma,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/505831,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,2,Aracne,"PALMIERI, STEFANIA;Lavizzari F.","Design, Università e Industria. Il ruolo del disegno industriale nel rapporto tra percorsi formativi e mondo delle imprese"
MILANO,-,03.1 Monografia o trattato scientifico,none,-,Sinestesia; sensorialità; design,http://hdl.handle.net/11311/506019,1999,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,-,ITA,1,Etas,"RICCO', DINA",Sinestesie per il design. Le interazioni sensoriali nell'epoca dei multimedia
ROMA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Sinestesia; Sensorialità; Design della comunicazione,http://hdl.handle.net/11311/506020,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Carocci,"RICCO', DINA",Sentire il design. Sinestesie nel progetto di comunicazione
UDINE,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Archivi; Fotografia; Ricerca; Triennale di Milano,http://hdl.handle.net/11311/532518,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,ITA,3,WALKING FASHION,"TURINETTO, MARCO;F. RODITI;A. HONEGGER",VIAGGIARE CON LA MODA The Travel Diaries of Elsa Haertter
SANT'ARCANGELO DI ROMAGNA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,percezione; archivio; luce; colore; arte; design,http://hdl.handle.net/11311/532680,2008,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,3,Maggioli Editore,"BISSON, MARIO;BOERI, CRISTINA;CALABI, DANIELA ANNA",Light Art. Considerazioni per un archivio dedicato all'arte della luce.
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/532684,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,1,POLI.DESIGN,"SOLDATI, MARIA GRAZIA",La cultura del tessuto dalle origini al design contemporaneo
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/544276,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Electa,"BUCCI, FEDERICO;BOSONI, GIAMPIERO",Il design e gli interni di Franco Albini
Bologna,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/545357,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Maggioli,"ROSSI, MAURIZIO",Design della Luce. Fondamenti ed esperienze nel progetto della luce per gli esseri umani
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,"Didattica di Base, Design Della Comunicazione",-,http://hdl.handle.net/11311/545406,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Maggioli Editore,"CARATTI, ELENA",La Didattica del Design della Comunicazione. Modelli per la formazione di base
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,creativity; design practices; design innovation,http://hdl.handle.net/11311/545409,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng;ita,ITA,1,Maggioli Editore,"DOMINONI, ANNALISA",CREATIVE DESIGN PRACTICES. THE CREATIVE PROCESS IN PRODUCT DESIGN AND ENVIRONMENT FOR EDUCATIONAL
Verona,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/545478,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng;ita,ITA,3,Grafiche Aurora,"CONTI, GIOVANNI MARIA;Chiara Gazzi;Claudia Manesso",OverBank. Appunti e visioni sulla banca del futuro degli studenti del Politecnico di Milano
Milano,-,03.1 Monografia o trattato scientifico,none,-,Design strategico; Cina; PMI; internazionalizzazione,http://hdl.handle.net/11311/545985,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Edizioni POLI.design,"ZURLO, FRANCESCO;MORTATI, MARZIA",Brand Italia Cercasi. Perché sono pochi i brand italiani in Cina
BOLOGNA,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/546153,2007,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,ITA,2,Pitagora,"BERIA, PAOLO;PONTI, MARCO GUIDO",Introduzione ai sistemi di trasporto
Vicchio (Firenze),-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/546960,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,LoGisma editore,"CORDERA, PAOLA","Ottocento italiano e smalti di Limoges. La produzione dell’atelier Pénicaud tra revival, collezionismo e arti industriali"
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/547371,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,FrancoAngeli,"GEROSA, GIULIA MARIA",Il progetto dell'identità di marca nel punto vendita
Sant’Arcangelo di Romagna (Rimini),-,03.1 Monografia o trattato scientifico,none,-,Architettura degli Interni; design degli interni; design; hotel; albergo; contract design,http://hdl.handle.net/11311/547670,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,"Maggioli Editore,","SCULLICA, FRANCESCO",Interni Ospitali
Milano,Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/547810,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,FrancoAngeli,"PIREDDA, FRANCESCA","Design della comunicazione audiovisiva. Un approccio strategico per la “televisione debole"""
Bologna,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Design; Open Source; mass customization; peer-to-peer; collaborazione; conoscenza; condivisione,http://hdl.handle.net/11311/547821,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Pitagora,"CIUCCARELLI, PAOLO",Design Open Source. Dalla partecipazione alla progettazione collettiva in rete
Bologna,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,design; moda; progettazione,http://hdl.handle.net/11311/547847,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Pitagora,"BERTOLA, PAOLA",La moda progettata. Le (sette - una) vie del design
Santarcangelo di Romagna (RN),-,03.1 Monografia o trattato scientifico,none,-,Uomo; design; territorio; spazi; reversibile; adeguabile; arte; architettura; paesaggio,http://hdl.handle.net/11311/547949,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Maggioli Editore,"PICCINNO, GIOVANNA",Space design. Quattro riflessioni=Quattro lezioni
Roma,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Design; Strategia d'impresa,http://hdl.handle.net/11311/547971,2006,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Aracne,"CAUTELA, CABIRIO;ZURLO, FRANCESCO",Relazioni produttive. Design e strategia nell'impresa contemporanea
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/548041,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Maggioli editore,"COLOMBI, CHIARA",Corpo d’arte/fatto
-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/548044,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,3,maggioli editore,"COLLINA, LUISA MARIA VIRGINIA;COLOMBI, CHIARA;TOLINO, UMBERTO",MERCHANDESIGN - Il progetto di identità
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/548209,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,5,Politecnico di Milano,"MAJA, ROBERTO;RAINOLDI, GIOVANNI;BORGHETTI, FABIO;PONTI, MARCO;MARCHIONNI, GIOVANNA",Sviluppo metodologico della base cartografica della rete stradale e dei punti critici - Linee guida per la pianificazione delle emergenze nei trasporti
"New York, Milano",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Design; italian design; MoMA of New York; Franco Albini; Gio Ponti; Mario Bellini; Achille e Pier Giacomo Castiglioni; Marco Zanuso; Enzo Mari,http://hdl.handle.net/11311/548218,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng;ita;fra,ITA,1,"Museum of Modern Art, New York, 5 Continents Editions","BOSONI, GIAMPIERO",: Italian Design
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/548221,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,2,CUSL,"RUBERTELLI, MANUELA;SOLDATI, MARIA GRAZIA","Textile design: prontuario delle fibre, dei filati e dei tessuti"
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/548312,2006,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,4,Politecnico di Milano - Dipartimento IN.D.A.CO.,"MAJA, ROBERTO;RAINOLDI, GIOVANNI;D. ROMANÒ;R. SALIMBENI",Il trasporto delle merci pericolose in galleria
-,-,03.1 Monografia o trattato scientifico,none,-,Trasporti; Reti europee; Costi di trasporto; Sostenibilità; Tariffazione,http://hdl.handle.net/11311/548326,2006,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,-,2,"Politecnico di Milano, Dipartimento IN.D.A.CO.","MAJA, ROBERTO;D. ROMANÒ",External Cost Assessment In Transalpine Corridors
-,-,03.1 Monografia o trattato scientifico,none,-,Trasporti; Sicurezza; Merci pericolose; Monitoraggio,http://hdl.handle.net/11311/548337,2005,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,"Politecnico di Milano, Dipartimento IN.D.A.CO.","MAJA, ROBERTO",Specifiche del server della Sala Operativa
-,-,03.1 Monografia o trattato scientifico,none,-,Trasporti; Sicurezza; Merci pericolose; Monitoraggio,http://hdl.handle.net/11311/548352,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,4,"Politecnico di Milano, Dipartimento IN.D.A.CO.","MAJA, ROBERTO;RAINOLDI, GIOVANNI;MARCHIONNI, GIOVANNA;D. ROMANÒ",Individuazione degli itinerari Origine-Destinazione di maggior interesse per la sperimentazione
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,biomimesi; design; natura; materiali,http://hdl.handle.net/11311/548709,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,3,Franco Angeli,"SALVIA, GIUSEPPE;ROGNOLI, VALENTINA;LEVI, MARINELLA",Il progetto della Natura. Gli strumenti della biomimesi per il design.
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/548792,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,Maggioli,"MANCIARACINA, ANDREA GIUSEPPE",Strumenti per la comunicazione visiva del progetto di moda
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,DESIGN; FASHION; RETAIL; ACCESSORIES,http://hdl.handle.net/11311/549773,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,FRANCO ANGELI,"CAPPELLIERI, ALBA",MODA E DESIGN: IL PROGETTO DELL'ECCELLENZA
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/549778,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,1,SKIRA,"CAPPELLIERI, ALBA",GIOIELLO ITALIANO CONTEMPORANEO: TECNICHE E MATERIALI TRA ARTE E DESIGN
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/549780,2007,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,-,1,SKIRA,"CAPPELLIERI, ALBA",ANTONIO CITTERIO: ARCHITECTURE AND DESIGN
MILANO,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/549785,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,SKIRA,"CAPPELLIERI, ALBA","ETERNAL PLATINUM, IL DESIGN DELLA FEDE"
MILANO,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/549795,2002,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,2,EDIZIONI POLIDESIGN,"CAPPELLIERI, ALBA;BERTOLA, PAOLA","RICERCA, DESIGN E SPERIMENTAZIONE PER L'INNOVAZIONE DI PRODOTTO NEL SETTORE DELL'ACCESSORIO MODA"
milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/549806,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,2,ELECTA,"CAPPELLIERI, ALBA;B. CAPPELLO","PAPER JEWELLERY, GIOIELLI DI CARTA"
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,neuroscienze; design; emozione; stilema; empatia; sensorialità,http://hdl.handle.net/11311/549877,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,3,Franco Angeli,"BIONDI, EMANUELE;ROGNOLI, VALENTINA;LEVI, MARINELLA",Le neuroscienze per il design: la dimensione emotiva del progetto.
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/551524,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,por,-,1,e-papers,"CIPOLLA, CARLA",O Avesso do EspelhoRelaçoes Comunitarias e Divisao do Trabalho na Experiencia da Unilabor
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/551556,2007,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,eng,ITA,1,Maggioli,"VEZZOLI, CARLO ARNALDO","System design for sustainability. Theory, methods and tools for a sustainable “satisfaction-system” design"
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,materiali; espressivo-sensoriale; sensi; design,http://hdl.handle.net/11311/553786,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,2,Polipress,"ROGNOLI, VALENTINA;LEVI, MARINELLA",Materiali per il design: espressività e sensorialità
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/553816,2005,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Poli.Design,"TURINETTO, MARCO",Be different: il valore attrattivo del brand design nelle imprese moda
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/554460,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Poli.Design,"BREVI, FAUSTO",Il design delle superfici. I modelli digitali per il disegno industriale
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,design; conoscenza; metodologia,http://hdl.handle.net/11311/554463,2006,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,2,Poli.Design,"CIUCCARELLI, PAOLO;INNOCENTI, PERLA",Sistemi conoscitivi per il design: una proposta metodologica
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/554500,2004,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,ita,ITA,4,Il Sole 24 Ore,"VERGANTI, ROBERTO;CALDERINI, MARIO;GARRONE, PAOLA MARIA;PALMIERI, STEFANIA",L' impresa dell'innovazione. La gestione strategica della tecnologia nelle Pmi
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,titanio; anodizzazione; design; colore,http://hdl.handle.net/11311/554510,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,STAMPA,ita,ITA,3,Epitesto,"DEL CURTO, BARBARA;PEDEFERRI, MARIAPIA;ROGNOLI, VALENTINA","Titaniocromie, il titanio e i suoi colori"
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/554525,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Il Sole 24 Ore,"PALMIERI, STEFANIA",Il consumatore che innova
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/554540,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,2,Poli.Design,"FRASSINE, ROBERTO;SOLDATI, MARIA GRAZIA",Textile: design e tecnologia
Roma,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/554576,2004,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,ita,ITA,1,ARACNE editrice,"RAMPINO, LUCIA ROSA ELENA",Ricerca progettuale e innovazione: metodi e strumenti del design per innovare i prodotti a media complessità
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/555791,2003,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Poli.design,"DESERTI, ALESSANDRO",Metaprogetto. Riflessioni teoriche ed esperienze didattiche
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/555809,2003,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,Edizioni Polidesign,"MERONI, ANNA",Design e Innovazione di sistema nel settore alimentare: una ricerca progettuale
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Design dei servizi; design dell'interazione; user centred design; tecnologie digitali; comunicazione.,http://hdl.handle.net/11311/555841,2003,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,2,APOGEO,"PILLAN, MARGHERITA;S. Sancassani",Costruire servizi digitali
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/555909,2003,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Poli.Design,"ANSELMI, LAURA",Quale qualità? Cosa si intende per qualità d'uso e come è possibile verificarla
Novara,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Leonardo da Vinci; disegni; architettura militare; arte militare,http://hdl.handle.net/11311/556412,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,De Agostini,"MARANI, PIETRO","Fortezze, bastioni, cannoni. Disegni di Leonardo dal Codice Atlantico"
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/556908,2002,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,4,Il Sole 24 Ore,"ZURLO, FRANCESCO;CAGLIANO, RAFFAELLA;SIMONELLI, GIULIANO;VERGANTI, ROBERTO",Innovare con il Design: il caso del settore dell’illuminazione in Italia
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/557058,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,3,Il Sole 24 Ore,"ANDREONI, GIUSEPPE;COSTA, FIAMMETTA CARLA ENRICA;LANDONI, PAOLO",Tecnologie informatiche e utenza debole
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/557074,2002,03 LIBRO::03.1 Monografia o trattato scientifico,nazionale,-,-,-,1,Poli.Design,"COSTA, FIAMMETTA CARLA ENRICA",Health Care Design. Il contributo del design nei processi di innovazione nel settore biomedicale
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/557884,2001,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,Poli.Design,"BAULE, GIOVANNI",Artefatti di transizione: un ossevatorio per il design della comunicazione
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/557897,2001,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,ita,-,1,Poli.design,"PENATI, ANTONELLA VALERIA",Giovane è il design. Nodi contemporanei della didattica per il progetto
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,-,http://hdl.handle.net/11311/557906,2001,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,ita,-,1,Edizioni Poli.Design,"BAULE, GIOVANNI","Materiali per la socirtà dell'informazione: icone, artefatti, tipologie formati"
Rimini,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,design; ambient; competitività; dfe; lca,http://hdl.handle.net/11311/558268,2000,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,ITA,1,Maggioli Editore,"MANGIAROTTI, RAFFAELLA",Il DfE in impresa. Design for Environment: il progetto di prodotti eco-compatibili
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/558276,2000,03 LIBRO::03.1 Monografia o trattato scientifico,internazionale,-,-,-,1,Poli.design,"SIMONELLI, GIULIANO",Percorsi nella produzione degli apparecchi d’illuminazione: letture di settore guidate dal design
Granada,-,03.1 Monografia o trattato scientifico,none,-,Sinestesia; Visual Music; Video; Design della comunicazione,http://hdl.handle.net/11311/561125,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita;eng;spa,ESP,2,Ediciones Fundación Internacional Artecittà,"RICCO', DINA;M. J. De Cordoba",MuVi2. Video and moving image on synesthesia and visual music
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/562044,2008,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,4,Einaudi Scuola,"VOLONTE', PAOLO GAETANO;C. Lunghi;M. Magatti;E. Mora","Sociologia. Concetti, metodi, temi di scienze sociali"
Santarcangelo di Romagna (RN),-,03.1 Monografia o trattato scientifico,none,-,Luce; Arte; Light; Art; Italy,http://hdl.handle.net/11311/562468,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,2,Maggioli Editore,"GELLINI, GISELLA;MURANO, FRANCESCO",Light art in Italy
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/563126,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,Franco Angeli,"RIZZO, FRANCESCA","Strategie di co-design. Teorie, metodi e strumenti per progettare con gli utenti"
ROMA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,design; comunicazione; prodotto; metodologia progettuale,http://hdl.handle.net/11311/563134,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,ARACNE editrice,"BRUNO, DAVIDE MARIA","Questione di metodo: analisi, sintesi, teorie, esempi sulla metodologia progettuale"
Firenze,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Comunicazione; Design; Progetto,http://hdl.handle.net/11311/563383,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Alinea,"MAIOCCHI, MARCO MARIA;PILLAN, MARGHERITA",Design e Comunicazione
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/563440,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Lupetti - Editori di Comunicazione,"SOLDATI, MARIA GRAZIA;CONTI, GIOVANNI MARIA",Fashion e Textile design - Percorsi paralleli ed evoluzioni storiche
Rimini,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/563491,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,3,Maggioli Editore,"VEZZOLI, CARLO ARNALDO;CESCHIN, FABRIZIO;CORTESI, SARA",Metodi e strumenti per il Life Cycle Design. Come progettare prodotti a basso impatto ambientale.
Milano,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/563545,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,2,Edizioni Dativo,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK",Le parole del packaging. Glossario ragionato per il sistema-imballaggio
-,-,03.1 Monografia o trattato scientifico,none,-,User Centred Design; innovazione di prodotto; esigenze utenti,http://hdl.handle.net/11311/563902,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,ITA,1,FrancoAngeli,"ANSELMI, LAURA",Il Design di prodotto oggi - progettare con gli utenti: gli elettromedicali
-,-,03.1 Monografia o trattato scientifico,none,-,-,http://hdl.handle.net/11311/563941,2009,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,eng,-,4,Politecnico di Milano,"STUDER, LUCA PASINO;MARCHIONNI, GIOVANNA;PONTI, MARCO;BORGHETTI, FABIO",Second year Report on the EX - post evaluation.Analysis after the implementation
