dc.publisher.place,dc.type.referee,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,item.journal.title,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Milano,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/642338,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Multidisciplinarity and innovation. ASP Project 5,-,ita,ITA,2,Polipress,"MAFFEI, STEFANO;VILLARI, BEATRICE",Fas.P.onSite. How strategic and service design can change the fashion cycle
Milano,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Media; rimeditazione; virtuale; consumo,http://hdl.handle.net/11311/642727,2004,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design della comunicazione e esperienze di acquisto,-,ita,ITA,4,Franco Angeli,"BUCCHETTI, VALERIA LUISA",Interfacce del consumo
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/642729,2000,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Didattica & design,-,-,ITA,1,Edizioni PoliDesign,"BAULE, GIOVANNI",Le figure del progetto nelle professioni on-line
-,-,-,none,02.1 Contributo in Volume,-,-,type design; design; communication design; tipografia,http://hdl.handle.net/11311/643537,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Type design,-,ita,ITA,1,Franco Angeli,"BAULE, GIOVANNI",Type come design. Il progetto di sistemi-soglia per l'acceso al contenuto testuale.
Milano,-,-,none,02.1 Contributo in Volume,-,-,sound design; design della comunicazione,http://hdl.handle.net/11311/643538,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Passaggi di sound design,-,ita,ITA,1,Franco Angeli,"BAULE, GIOVANNI",Il progetto del suono
-,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/643725,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Progettare un gioco non è un gioco,-,ita,ITA,1,Maggioli Editori,"VIGNATI, ARIANNA",Il progetto sostenibile tra sistema prodotto e processo progettuale
-,Nessuno,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/643727,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Progettare un gioco non è un gioco,-,ita,ITA,2,Maggioli Editore,"FOIS, LUCA;VIGNATI, ARIANNA",Buoni propositi per il futuro
-,-,STAMPA,info:eu-repo/semantics/openAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/643734,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Trends in working places. Environment, energy, new technologies",-,eng,ITA,1,SILVANA EDITORE,"BRUNO, DAVIDE MARIA",LA RICERCA PROGETTUALE
MILANO,-,STAMPA,info:eu-repo/semantics/openAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/643735,2002,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,QUANDO IL PRODOTTO DIVENTA LUOGO,-,ita,ITA,1,FRANCO ANGELI,"BRUNO, DAVIDE MARIA","L'ufficio a-locale: Identità comunicativa, entertainment, experience e show business"
PERUGIA,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/643736,2003,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Design, Ricerca e Azione",-,ita,ITA,3,ALINEA EDITRICE,"BRUNO, DAVIDE MARIA;ELENA COLOMBI;GABRIELE FANTAGUZZI",CASI DI STUDIO SUL MERCATO DEI FIORI DI SANREMO
-,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/644131,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Hard design. Il product design oggi tra innovazione e competitività,-,-,-,1,Aracne,"INGARAMO, MATTEO ORESTE",Hard Design
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/645148,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La grafica del Made in Italy. Grafica e aziende del design 1950-1980 / Made in Italy graphic design,-,ita;eng,-,1,Aiap Edizioni,"PIAZZA, MARIO",La grafica del made in Italy / Made in Italy graphic design
Milano,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/645149,2011,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"On the road: Bob Noorda, il grafico del viaggio (titolo inglese: ""On the road: Bob Noorda, travelling with a graphic designer""",-,eng;ita,ITA,1,Aiap Edizioni,"PIAZZA, MARIO",Leggere e guardare: i pittogrammi di Bob Noorda per il Touring Club
Granada,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/645951,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,MUVI 3  Video and moving image on Synesthesia and visual music,-,eng,ESP,1,Fundacìon Internacional Artecittà,"BAULE, GIOVANNI",Nuovi formati ibridi per la sinestesia e la visual music
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/645952,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Grammatica del comunicare/  dalla scrittura all'identità aziendaledalla scrittura all'identità aziendale,-,-,ITA,1,Lupetti,"BAULE, GIOVANNI",Il doppio sguardo del graphic designer
Milano,-,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/645953,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,nazionale,Grammatiche del comunicare/ Dal testo alla pagina grafica,-,-,-,1,Lupetti,"BAULE, GIOVANNI",La fucina dei caratteri
Milano,-,-,none,02.1 Contributo in Volume,-,-,Advanced Design; Transportation; Sviluppo prodotto; Metodologia; Innovazione,http://hdl.handle.net/11311/648130,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Advance Design,-,ita,ITA,1,McGraw-Hill,"CREA, NICOLA",Advanced Design e Car Design: l'Advanced Transportation Design
Roma,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,Innovazione; Automobile; Ecosostenibilità; Status Symbol; Comunicazione; Società low cost,http://hdl.handle.net/11311/648131,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,XXI SECOLO - GLI SPAZI E LE ARTI,-,ita,ITA,1,Treccani,"CREA, NICOLA",L'innovazione dell'automobile
-,Nessuno,-,none,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/648925,2010,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,IL MUSEO VISIBILE,-,ita,-,1,Lupetti - Editori di comunicazione,"CEPPI, GIULIO",Fotografia come strumento di progetto
-,Nessuno,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/651925,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Kazuyo Komoda. Research Experiences in Design,-,eng;ita,-,2,FrancoAngeli,"BIANCHINI, MASSIMO;VILLARI, BEATRICE",Attrattività e potenzialità del Sistema Design Italia nei confronti di designer stranieri / The attractiveness and potentialities of Italian Design System for foreign designers
Milano,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/653789,2005,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,’60. Gli anni giovani 1965: i Beatles a Milano,-,ita,ITA,1,Skira,"PIAZZA, MARIO",La società delle immagini. La grafica e la pubblicità negli anni '60.
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,"Geometria; architettura e matematica; proporzioni; tracciati regolatori; disegno.
Geometry; architecture and mathematics; proportions; geometrical patterns; drawing.",http://hdl.handle.net/11311/657493,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Milano Maths in the city. A mathematical tour of Milanese Architecture - itinerario matematico dell'architettura milanese.,-,ita;eng,ITA,1,Maggioli Editore,"ROSSI, MICHELA","Geometria e architettura a Milano, il disegno tra arte e scienzaGeometry and Architecture in Milan, design between art and science"
Roma,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,progetto del colore; rappresentazione del colore,http://hdl.handle.net/11311/657536,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Trascirizioni - Atti del 4° Seminario di Studi IDEE PER LA RAPPRESENTAZIONE,-,ita,ITA,1,Artegrafica,"ROSSI, MICHELA","Forma, disegno, colore: i pregiudizi e la rappresentazione del progetto."
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,teorie del colore; modelli geometrici del colore; rappresentazione del colore,http://hdl.handle.net/11311/657554,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Colore e colorimetria,-,ita,ITA,1,Maggioli Editore,"ROSSI, MICHELA","Le geometrie del colore, la “forma” come spiegazione e misura"
milano,-,-,none,02.1 Contributo in Volume,-,-,linguaggio; cooperazione spontanea; città diffusa; tempo e spazio; comunicazione nella città,http://hdl.handle.net/11311/660200,1986,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,"Il tempo nello spazio. Linee di villaggio, linee di città",-,ita,-,1,Franco Angeli,"GALBIATI, MARIA LUISA","Linguaggio, cooperazione spontanea del lavoro e nuovo ordine dello spazio e del tempo"
milano,-,-,none,02.1 Contributo in Volume,-,-,munari; leggerezza; progetto; architettura; design,http://hdl.handle.net/11311/660617,1999,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Su Munari,-,ita,-,1,abitare segesta cataloghi,"GALBIATI, MARIA LUISA",Alleggerire
Milano,-,-,none,02.1 Contributo in Volume,-,-,fotografia; città; sguardo; esperienza visiva.,http://hdl.handle.net/11311/660630,1991,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Lo sguardo discreto. habitat e fotografia,-,ita,ITA,1,Tranchida Editori,"GALBIATI, MARIA LUISA",Lo sguardo discreto. habitat e fotografia
Milano,-,-,none,02.1 Contributo in Volume,-,-,Immaginario filmico e immaginario letterario; città industriale; cinema; Dickens; Lang,http://hdl.handle.net/11311/660639,1996,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Testo letterario e immaginario architettonico,-,ita,-,1,Jaca Book,"GALBIATI, MARIA LUISA",Fluttuazioni dell'immaginario architettonico-urbano tra letteratura e cinema
Cologne,-,-,none,02.1 Contributo in Volume,-,-,information graphic; Visualization; Information Visualization,http://hdl.handle.net/11311/660650,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Information Graphics,-,ger;eng;fra,DEU,1,Taschen GmbH,"CIUCCARELLI, PAOLO","Turning visualisations into stories and ""big pictures"""
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/661125,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Milano Maths in the city. A mathematical tour of Milanese Architecture - itinerario matematico dell'architettura milanese.,-,ita;eng,ITA,1,Maggioli,"ROSSI, MICHELA",Esposizione Internazionale Triennale delle Arti decorative e industriali
Santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/661128,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Milano Maths in the city. A mathematical tour of Milanese Architecture - itinerario matematico dell'architettura milanese.,-,ita;eng,ITA,2,Maggioli Editore,"ROSSI, MICHELA;Marco Bove",Il monumento ai Caduti nei Campi di Sterminio -
santarcangelo di Romagna,-,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/661130,2012,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Milano Maths in the city. A mathematical tour of Milanese Architecture - itinerario matematico dell'architettura milanese.,-,ita;eng,-,1,Maggioli Editore,"ROSSI, MICHELA","Domus Carola, Domus Fausta, Domus Julia"
