dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Mantova,STAMPA,info:eu-repo/semantics/openAccess,07.06 Mostra,-,-,http://hdl.handle.net/11311/974528,2015,-,07 ALTRO::07.06 Mostra,-,Giorgio De Chirico Una gita a Lecco,-,eng;ita,ITA,1,Corraini Edizioni,"CEPPI, GIULIO",Giorgio De Chirico_ Una gita a Lecco
Milano,-,info:eu-repo/semantics/openAccess,07.06 Mostra,-,"Expo Milano 2015, Lombardia, agroalimentare, produzione, innovazione",http://hdl.handle.net/11311/975477,2015,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,ITA,2,Consorzio POLI.Design,"PARENTE, MARINA;SIMONELLI, GIULIANO",LOMBARDIES. A unique territory with multiple identities
-,-,info:eu-repo/semantics/openAccess,07.06 Mostra,-,-,http://hdl.handle.net/11311/979666,2015,-,07 ALTRO::07.06 Mostra,-,-,-,eng;ita,ITA,2,Triennale di Milano,"BERTOLA, PAOLA;LINFANTE, VITTORIO",Il Nuovo Vocabolario della Moda Italiana
-,-,info:eu-repo/semantics/closedAccess,07.08 Prototipo d'arte e relativi progetti,-,MATERIALI FOTOLUMINESCENTI,http://hdl.handle.net/11311/731378,2012,-,07 ALTRO::07.08 Prototipo d'arte e relativi progetti,-,-,-,-,-,2,-,"MURANO, FRANCESCO;Fenoglio N.",Magic Thinks
-,-,info:eu-repo/semantics/closedAccess,07.08 Prototipo d'arte e relativi progetti,-,-,http://hdl.handle.net/11311/731385,2012,-,07 ALTRO::07.08 Prototipo d'arte e relativi progetti,-,-,-,-,-,3,-,"MURANO, FRANCESCO;Gianpietro Grossi;Pietro Pirelli",LASER PENDULUM
Varese,STAMPA,info:eu-repo/semantics/closedAccess,07.09 Cartografia,"Campo dei Fiori, Liberty, bellezza, itinerari",-,http://hdl.handle.net/11311/1019572,2012,-,07 ALTRO::07.09 Cartografia,-,-,-,ita,ITA,5,Ente Parco Campo dei Fiori,"ANZANI, ANNA;BAILA, ANGELA;CARAMEL, CLAUDIA;GUARISCO, MARGHERITA;Pozzi G.",Viaggiando Liberty. Percorsi di architettura lungo I sentieri del parco. Mappa tematica
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,"innovazione sociale, co-design; service design",-,http://hdl.handle.net/11311/1018796,2016,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"SELLONI, DANIELA",Ezio Manzini: idee e pratiche per una società cosmopolita
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,"Nutrizione, Design, Sostenibilità",http://hdl.handle.net/11311/1019087,2015,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"CAMOCINI, BARBARA",Design to feed the world
-,-,info:eu-repo/semantics/openAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1019547,2015,-,07 ALTRO::07.12 Altro,internazionale,-,-,-,-,3,-,"Rizo, F.;KOMATSU, TAMAMI TIFFANY;DESERTI, ALESSANDRO",SIMPACT Project. Deliverable 4.1. Part I. SI Processes and Business Models
-,-,info:eu-repo/semantics/closedAccess,07.12 Altro,-,-,http://hdl.handle.net/11311/1019548,2016,-,07 ALTRO::07.12 Altro,-,-,-,-,-,1,-,"Tibúrcio, Isa Helena",La Porta di Milano e le Dimensioni Invisibili. Relazioni tra arte e architettura nello spazio ambiente / Invisible Dimensions at the Porta di Milano. Relationships between art and architecture in ambient space
