dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/689384,2003,Comune di Pontecagnano Faiano,07 ALTRO::07.13 Progetti,-,-,Internazionale di progettazione,ita,-,3,Comune di Pontecagnano Faiano,"BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA","Centro Europeo per le Creatività Emergenti - concorso internazionale ""ex Tabacchificio Centola"""
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/689386,2004,Comune di Olgiate Molgora,07 ALTRO::07.13 Progetti,-,-,Idee,ita,-,5,Comune di Olgiate Molgora,"NEBULONI, ATTILIO;R. Bosia;T. Bosia;M. Besseghini;R. Malvestiti",Concorso di idee per un centro socio-ricreativo da realizzare sull’area pubblica denominata Nava
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/693096,2011,Arbatax,07 ALTRO::07.13 Progetti,-,-,Concorso nazionale per INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX,ita,-,6,"CITTA DI TORTOLI’
PROVINCIA OGLIASTRA","DAGLIO, LAURA;GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;A. Loi;LANZAROTTI, GRETA","Concorso nazionale per ""INTERVENTI DI RIQUALIFICAZIONE PAESAGGISTICO – AMBIENTALE ED ARCHITETTONICA DEL PIAZZALE SCOGLI ROSSI AD ARBATAX"""
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/693098,2010,Sarnico,07 ALTRO::07.13 Progetti,-,-,CONCORSO D’IDEE,ita,-,4,"COMUNE DI SARNICO
Provincia di Bergamo","GEROSA, GIULIA MARIA;D. Fumagalli;G. Lassandro;D. Prinzo","CONCORSO D’IDEE
PER LA PROGETTAZIONE DI PIAZZA XX SETTEMBRE E DEGLI SPAZI ANNESSI"
-,-,none,07.13 Progetti,-,-,http://hdl.handle.net/11311/693100,2010,Villagrande Strisaili (OG),07 ALTRO::07.13 Progetti,-,-,idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili,ita,-,4,Comune di Villagrande Strisaili,"GEROSA, GIULIA MARIA;G. LAssandro;D. Fumagalli;D. Prinzo",Concorso di idee finalizzato all’acquisizione di una proposta ideativa in merito alla riqualificazione della piazza Sennorigau in Villagrande Strisaili
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,Design; Mediterraneo; product design; visual design; fotografia; scenari futuri; sviluppo economico,http://hdl.handle.net/11311/693500,2011,on line - premiazione a Barcelona,07 ALTRO::07.13 Progetti,-,-,"Design Mediterraneo | Mediterranean Design, 2011",ita;spa;eng,-,2,PAD magazine (www.palermodesign.it),"FERRARA, MARIA RITA;A. Calvera","Design Mediterraneo | Mediterranean Design, 2011"
-,-,none,07.13 Progetti,-,Design; Mediterraneo; visul design; product design; fotografia; designer,http://hdl.handle.net/11311/693509,2009,on line - Turchia,07 ALTRO::07.13 Progetti,-,-,Mediterranean Design. Tra presente e futuro,ita;eng,-,2,PAD magazine online,"FERRARA, MARIA RITA;C. Ferrara",Mediterranean Design. Tra presente e futuro
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/764739,2012,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE","Fondazione Giorgio Cini. Restauro del Cenacolo Palladiano, Venezia"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/765540,2011,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE","Servizi alla visita dell'area archeologica di competenza SAR, Roma"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/765541,2012,Milano,07 ALTRO::07.13 Progetti,-,-,ADI Design Index 2013,ita,-,1,ADI - Associazione per il Disegno Industriale,"DE LUCCHI, MICHELE","Gallerie d'Italia - Piazza Scala, Milano"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/765542,2012,--,07 ALTRO::07.13 Progetti,-,-,--,kat,-,1,--,"DE LUCCHI, MICHELE","Public Service Hall, Marneuli (Georgia)"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/765544,2012,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Triennale di Milano. Restauro dello scalone d'onore e accesso al Teatro dell'Arte
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/765545,2012,Milano,07 ALTRO::07.13 Progetti,-,-,GrandesignEtico International Award 2012,ita,-,1,Associazione culturale plana,"DE LUCCHI, MICHELE",Pannello fonoassorbente Mitesco per Caimi Brevetti
-,STAMPA,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,design; craft; material culture; local know how; knowledge-based production; production of value,http://hdl.handle.net/11311/766431,2011,MILANO / ROMA,07 ALTRO::07.13 Progetti,-,-,TARGA GIOVANI – XXII COMPASSO D'ORO ADI 2011,eng;ita,-,1,ADI - Associazione Design Italiano,"VACCA, FEDERICA","Design sul filo della tradizione. Strategie e strumenti di valorizzazione di competenze e culture locali 

Design on the thread of tradition. Strategies and instruments to exploit local skills and culture in the textile industry"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/824338,2013,Maranhão,07 ALTRO::07.13 Progetti,-,-,Progettazione,por,-,6,Estado do Maranhão,"P. Pontes;B. Padovano;BLASI, CESARE;PADOVANO, GABRIELLA;NEBULONI, ATTILIO;P. Bertacchini",Concurso Público Nacional de Arquitetura - Novo Centro Administrativo do Maranhão
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/826331,2013,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Expo 2015. Punto di informazioni Agorà
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/826332,2013,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Comune di Lodi. Biblioteca Laudense
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/826333,2013,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE","Uffici finanziari Banca Patrimoni Sella, Palazzo Bricherasio. Torino"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/826334,2013,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Intesa Sanpaolo. Campus tecnologico e uffici a Moncalieri
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/826335,2013,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Zambon.  Ampliamento dell'Health and Quality Factory e nuovo Z Building a Vicenza
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/826336,2013,-,07 ALTRO::07.13 Progetti,-,-,-,ita,-,1,-,"DE LUCCHI, MICHELE",Museo Frau a Tolentino
-,-,none,07.13 Progetti,-,Design; exhibition design,http://hdl.handle.net/11311/930355,2014,MILANO,07 ALTRO::07.13 Progetti,-,-,WORKSHOP CLUSTER PAVILLON,ita,-,3,EXPO MILANO 2015,"BIAMONTI, ALESSANDRO;CAMOCINI, BARBARA;M. ZINI",Arid Zones Cluster Pavillon for Expo 2015
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,-,http://hdl.handle.net/11311/958781,2013,MILANO,07 ALTRO::07.13 Progetti,-,-,Sharp Design Contest | Light for Emotional Comfort,eng,-,1,SHARP,"MURANO, FRANCESCO","SKY LUMINATOR
Sharp International Design Contest | Light for Emotional Comfort"
-,-,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,Brand design; Corporate Identity; immagine coordinata per territorio e istituzioni culturali; politecnico di milano,http://hdl.handle.net/11311/959229,2011,Milano,07 ALTRO::07.13 Progetti,-,-,Identità visiva,ita,-,1,Politecnico di Milano,"TOLINO, UMBERTO",Progetto dell'identità visiva per il centocinquantesimo anniversario del Politecnico di Milano.
-,STAMPA,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,"urban lighting, analysis,",http://hdl.handle.net/11311/983225,2015,Roma,07 ALTRO::07.13 Progetti,-,-,Urban Lightscape (concorso internazionale),eng,-,6,AIDI Associazione Italiana di Illuminazione - CNAPPC Consiglio Nazionale degli Architetti Pianificatori Paesaggisti e Conservatori,"Gentili, Helena;CASCIANI, DARIA;Santoro, Piero;Caggiano, Else;D'Alesio, Carlo;Di Filippo, Massimo","Progetto GENIUS LUCI  - Concorso internazionale ""URBAN LIGHTSCAPE"" - progetto vincitore"
-,ELETTRONICO,info:eu-repo/semantics/closedAccess,07.13 Progetti,-,"urban lighting, lighting experience, coloured lighting, lighting design,",http://hdl.handle.net/11311/983751,2012,"Wismar, Germany",07 ALTRO::07.13 Progetti,-,-,2012 Vox Juventa on the occasion of the Light Symposium,eng,-,1,PLDA - Professional Lighting Designers’ Association,"CASCIANI, DARIA","Atlas of Urban Lighting Experience 2.0- Concorso internazionale ""VOX JUVENTA 2012 - Light Symposium in Wismar, Germany"" - progetto vincitore"
