title,author,year,type,keywords,cluster
Costruire imbarcazioni da diporto. Esperienze in cantiere.,"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA",2005,03.1 Monografia o trattato scientifico,-,nocluster
Una politica per i trasporti italiani,"BERIA, PAOLO;ERBA, STEFANO;PONTI, MARCO GUIDO",2007,03.1 Monografia o trattato scientifico,-,nocluster
Eucip - EUCIP - Guida alla certificazione per il professionista IT,"G. Bigini;BRAMBILLA, MARCO;CAPPIELLO, CINZIA;PLEBANI, PIERLUIGI;RIZZO, FRANCESCA",2007,03.1 Monografia o trattato scientifico,INF,nocluster
Design e innovazione. Strumenti e pratiche per la ricerca applicata,"CELASCHI, FLAVIANO;DESERTI, ALESSANDRO",2007,03.1 Monografia o trattato scientifico,-,nocluster
E-content design - orizzonti di ricerca per la multimedialita' interattiva,"M. Aureggi;BERTOLO, MARESA;PILLAN, MARGHERITA",2004,03.1 Monografia o trattato scientifico,-,nocluster
DESIGN PER LA COMPETITIVITÀ. GUIDA PER L’INNOVAZIONE DEL PRODOTTO CALZATURIERO,"SIMONELLI, GIULIANO",2005,03.1 Monografia o trattato scientifico,-,nocluster
Textile Design,"FRASSINE, ROBERTO;RUBERTELLI, MANUELA;SOLDATI, MARIA GRAZIA",2007,03.1 Monografia o trattato scientifico,-,nocluster
"Una firma per sei. Bernazzoli, Biassoni, Costantini, Veruggio, Luzzati, Piombino","PIAZZA, MARIO",2002,03.1 Monografia o trattato scientifico,-,nocluster
Lo studio televisivo: macchina luogo metafora. Le professioni della televisione,"GALBIATI, MARIA LUISA;GALLI, FRANCESCO",2004,03.1 Monografia o trattato scientifico,-,nocluster
Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento,"PIARDI, SILVIA ELVIRA MARIA",2002,03.1 Monografia o trattato scientifico,-,nocluster
Durabilità e scadenza nella comunicazione di prodotto,"BUCCHETTI, VALERIA LUISA;CIRAVEGNA, ERIK",2007,03.1 Monografia o trattato scientifico,-,nocluster
Strumenti di design management,"CAUTELA, CABIRIO",2007,03.1 Monografia o trattato scientifico,design management; design thinking; design tools; metaprogetto,nocluster
Design per la sostenibilità ambientale. Design for environmental sustainability,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO",2007,03.1 Monografia o trattato scientifico,-,nocluster
Next architetti. Paesaggi ralazionali,"E. Avallone;G. Forte;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",2007,03.1 Monografia o trattato scientifico,-,nocluster
La fabbrica dei significati solidi. Indagine sulla cultura della scienza,"VOLONTE', PAOLO GAETANO",2003,03.1 Monografia o trattato scientifico,-,nocluster
Razionalità e responsabilità. La fondazione etica dell'epistemologia delle scienze sociali in Max Weber,"VOLONTE', PAOLO GAETANO",2001,03.1 Monografia o trattato scientifico,-,nocluster
Le imprese sociali e i beni culturali,"VOLONTE', PAOLO GAETANO",2001,03.1 Monografia o trattato scientifico,-,nocluster
Etica ed economia,"VOLONTE', PAOLO GAETANO;DUILIO, L.",1988,03.1 Monografia o trattato scientifico,-,nocluster
"Sociologia. Concetti, metodi, temi di scienze sociali","VOLONTE', PAOLO GAETANO;C. LUNGHI;M. MAGATTI;E. MORA",2004,03.1 Monografia o trattato scientifico,-,nocluster
Husserls Phänomenologie der Imagination. Zur Funktion der Phantasie bei der Konstitution von Erkenntnis,"VOLONTE', PAOLO GAETANO",1997,03.1 Monografia o trattato scientifico,-,nocluster
"Concetti, metodi, temi di sociologia. Dodici moduli di scienze sociali","VOLONTE', PAOLO GAETANO;LUNGHI C.;MAGATTI M.;MORA E.",1999,03.1 Monografia o trattato scientifico,-,nocluster
Nietzsche,"VOLONTE', PAOLO GAETANO",1999,03.1 Monografia o trattato scientifico,-,nocluster
Edmund Husserl. Fenomenologia e teoria della conoscenza,"VOLONTE', PAOLO GAETANO",2000,03.1 Monografia o trattato scientifico,-,nocluster
Vita da stilista. Il ruolo sociale del fashion designer,"VOLONTE', PAOLO GAETANO",2008,03.1 Monografia o trattato scientifico,fashion; cultural production,nocluster
Il campo sociale della fisica particellare in Italia. Uno studio sociologico,"BELLOTTI, ELISA;BELTRAME L;VOLONTE', PAOLO GAETANO",2008,03.1 Monografia o trattato scientifico,-,nocluster
RURAL LANDSCAPE AND ARCHITECTURAL QUALITY Raccomandazioni per una nuova qualità urbana,"AMORUSO, GIUSEPPE;R. MINGUCCI",2006,03.1 Monografia o trattato scientifico,-,nocluster
L'Architettura dei Fari Italiani / The Architecture of Italian Lighthouses,"C. BARTOLOMEI;AMORUSO, GIUSEPPE",2006,03.1 Monografia o trattato scientifico,-,nocluster
Rethinking the city. Projects for a new urban quality La rappresentazione del paesaggio urbano,"AMORUSO, GIUSEPPE;R. MINGUCCI",2007,03.1 Monografia o trattato scientifico,-,nocluster
Innovazione e Riqualificazione Urbana,"R. MINGUCCI;C. BARTOLOMEI;AMORUSO, GIUSEPPE",2007,03.1 Monografia o trattato scientifico,-,nocluster
"L'Architettura dei Fari Italiani - The Architecture of Italian Lighthouses. Sardegna, vol. 3","C. BARTOLOMEI;AMORUSO, GIUSEPPE",2007,03.1 Monografia o trattato scientifico,-,nocluster
i luoghi dell'interazione. il progetto del controllo e del comando,"BISSON, MARIO",2003,03.1 Monografia o trattato scientifico,-,nocluster
variazioni sul colore,"BISSON, MARIO;CRISTINA BOERI",2006,03.1 Monografia o trattato scientifico,-,nocluster
Design & Beni Culturali. La cultura del progetto nella valorizzazione del bene culturale,"TROCCHIANESI, RAFFAELLA;F. CELASCHI",2004,03.1 Monografia o trattato scientifico,-,nocluster
TRANS-ALPS A Transport model for decisions on Traffic Management Plans,"STUDER, LUCA PASINO;ARDITI R;MAJA, ROBERTO;PONTI, MARCO;SALA G;VERONESI, ELEONORA;JAVICOLI A.",2003,03.1 Monografia o trattato scientifico,-,nocluster
Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento,"PIARDI, SILVIA ELVIRA MARIA",2002,03.1 Monografia o trattato scientifico,-,nocluster
Progettare e costruire imbarcazioni da diporto. Esperienze del Master in Yacht Design del POlitecnico di Milano,"PIARDI, SILVIA ELVIRA MARIA",2003,03.1 Monografia o trattato scientifico,-,nocluster
Progettazione ecocompatibile dell'architettura,"GROSSO M.;PERETTI S.;PIARDI, SILVIA ELVIRA MARIA;SCUDO G.",2005,03.1 Monografia o trattato scientifico,-,nocluster
LETTURE DINAMICHE DELL'ARTE CON LE TECNOLOGIE DIGITALI. ELEMENTI DI REGIA PER LA PRODUZIONE DI FILM D'ARTE,"GALBIATI, MARIA LUISA",2000,03.1 Monografia o trattato scientifico,-,nocluster
MOVIE DESIGN. SCENARI PROGETTUALI PER IL DESIGN DELLA COMUNICAZIONE AUDIOVISIVA E MULTIMEDIALE,"GALBIATI, MARIA LUISA",2005,03.1 Monografia o trattato scientifico,-,nocluster
Riflessioni e scenari innovativi nel progetto del punto vendita,"IANNILLI, VALERIA MARIA",2002,03.1 Monografia o trattato scientifico,-,nocluster
"La conoscenza scientifica e tecnologica. I luoghi, le memorie, le tracce","PARENTE, MARINA",2002,03.1 Monografia o trattato scientifico,-,nocluster
Design e sistema territoriale. Cinque casi studio di successo in Campania.,"V. CRISTALLO;E. GUIDA;A. MORONE;PARENTE, MARINA",2002,03.1 Monografia o trattato scientifico,sistema design Campania; design del territorio; design per lo sviluppo locale; design palese,nocluster
"Materiali intelligenti, sensibili, interattivi. 02 materiali per il design","M. CARDILLO;FERRARA, MARIA RITA",2008,03.1 Monografia o trattato scientifico,smart materials; design; sperimentazione progettuale; performance tecnologica; innovazioni tecnologiche; innovazioni scientifiche; macroinvenzioni; microinvenzioni; paradigmi tecnico-produttivi,nocluster
Moda e Design: il progetto dell'eccellenza,"CAPPELLIERI, ALBA",2007,03.1 Monografia o trattato scientifico,-,nocluster
"Gioiello Italiano Contemporaneo, tecniche e materiali tra arte e design","CAPPELLIERI, ALBA",2007,03.1 Monografia o trattato scientifico,-,nocluster
